id	length	vhh_score	aa37	aa44	aa45	aa47	FR1_len	CDR1_len	FR2_len	CDR2_len	FR3_len	CDR3_len	FR4_len
AM939708|IGHV3S12*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939709|IGHV3S13*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939710|IGHV3S14*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939711|IGHV3S15*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939712|IGHV3S16*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939714|IGHV3S18*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939715|IGHV3S19*01|Vicugna pacos|P|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	95	2.5	Y	Q	A	G	25	8	17	8	36	0	0
AM939716|IGHV3S2*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	S	Q	A	G	25	8	17	8	38	0	0
AM939718|IGHV3S20*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	H	Q	A	G	25	8	17	8	38	0	0
AM939723|IGHV3S25*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939724|IGHV3S26*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939725|IGHV3S27*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939726|IGHV3S28*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939727|IGHV3S29*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939728|IGHV3S3*01|Vicugna pacos|ORF|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	S	Q	V	G	25	8	17	8	38	0	0
AM939729|IGHV3S30*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939730|IGHV3S31*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939731|IGHV3S32*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939732|IGHV3S33*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939733|IGHV3S34*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939734|IGHV3S35*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939735|IGHV3S36*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939737|IGHV3S39*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939738|IGHV3S4*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	S	Q	A	G	25	8	17	8	38	0	0
AM939739|IGHV3S40*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939740|IGHV3S41*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939741|IGHV3S42*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939743|IGHV3S44*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939744|IGHV3S45*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939746|IGHV3S47*01|Vicugna pacos|P|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	95	2.5	Y	Q	A	G	25	8	17	7	38	0	0
AM939748|IGHV3S5*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM773548|IGHV3S53*01|Vicugna pacos|F|V-REGION|33845..34137|293 nt|1| | | | |293+27=320| | |	97	2.5	N	Q	A	G	25	8	17	7	38	2	0
AM939756|IGHV3S54*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	N	Q	A	G	25	8	17	8	38	0	0
AM939763|IGHV3S55*01|Vicugna pacos|F|V-REGION|1..285|285 nt|1| | | | |285+27=312|partial in 3'| |	95	2.5	Y	Q	A	G	25	8	17	7	38	0	0
AM939764|IGHV3S56*01|Vicugna pacos|F|V-REGION|1..285|285 nt|1| | | | |285+27=312|partial in 3'| |	95	2.5	Y	Q	A	G	25	8	17	7	38	0	0
AM939765|IGHV3S57*01|Vicugna pacos|F|V-REGION|1..285|285 nt|1| | | | |285+27=312|partial in 3'| |	95	2.5	Y	Q	A	G	25	8	17	7	38	0	0
AM939752|IGHV3S58*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939753|IGHV3S59*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939749|IGHV3S6*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939754|IGHV3S60*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939757|IGHV3S61*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939758|IGHV3S62*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939759|IGHV3S63*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939760|IGHV3S64*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939761|IGHV3S65*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939762|IGHV3S66*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	A	G	25	8	17	8	38	0	0
AM939766|IGHV3S67*01|Vicugna pacos|F|V-REGION|1..285|285 nt|1| | | | |285+27=312|partial in 3'| |	95	2.5	Y	Q	A	G	25	8	17	7	38	0	0
AM939755|IGHV3S68*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	S	Q	A	G	25	8	17	8	38	0	0
AM939750|IGHV3S7*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	S	Q	A	G	25	8	17	8	38	0	0
AM939751|IGHV3S8*01|Vicugna pacos|F|V-REGION|1..285|285 nt|1| | | | |285+27=312|partial in 3'| |	95	2.5	Y	Q	V	G	25	8	17	7	38	0	0
AM939767|IGHV3S9*01|Vicugna pacos|F|V-REGION|1..285|285 nt|1| | | | |285+27=312|partial in 3'| |	95	2.5	Y	Q	V	G	25	8	17	7	38	0	0
AM773548|IGHV4S1*01|Vicugna pacos|F|V-REGION|23907..24205|299 nt|1| | | | |299+21=320| | |	99	2.5	Y	Q	P	G	25	10	17	7	38	2	0
AM939702|IGHV4S10*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	P	G	25	10	17	6	38	0	0
AM939703|IGHV4S11*01|Vicugna pacos|P|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	95	2.5	Y	Q	P	G	25	10	16	6	38	0	0
AM939769|IGHV4S2*01|Vicugna pacos|F|V-REGION|1..291|291 nt|1| | | | |291+21=312|partial in 3'| |	97	2.5	Y	Q	P	G	25	10	17	7	38	0	0
AM939770|IGHV4S3*01|Vicugna pacos|F|V-REGION|1..291|291 nt|1| | | | |291+21=312|partial in 3'| |	97	2.5	Y	Q	P	G	25	10	17	7	38	0	0
AM939771|IGHV4S4*01|Vicugna pacos|F|V-REGION|1..291|291 nt|1| | | | |291+21=312|partial in 3'| |	97	2.5	Y	Q	P	G	25	10	17	7	38	0	0
AM939772|IGHV4S5*01|Vicugna pacos|F|V-REGION|1..291|291 nt|1| | | | |291+21=312|partial in 3'| |	97	2.5	Y	Q	P	G	25	10	17	7	38	0	0
AM939773|IGHV4S6*01|Vicugna pacos|F|V-REGION|1..291|291 nt|1| | | | |291+21=312|partial in 3'| |	97	2.5	Y	Q	P	G	25	10	17	7	38	0	0
AM939705|IGHV4S8*01|Vicugna pacos|F|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	96	2.5	Y	Q	P	G	25	10	17	6	38	0	0
AM939706|IGHV4S9*01|Vicugna pacos|P|V-REGION|1..288|288 nt|1| | | | |288+24=312|partial in 3'| |	94	2.5	Y	Q	P	G	24	10	16	6	38	0	0
