antibody_id,pdb_path,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total,structure_errors,canonical_H1,canonical_H2,canonical_H3,canonical_L1,canonical_L2,canonical_L3,sequence_errors,pI,GRAVY,instability_index,net_charge_pH7,hydro_patch_max9,charge_patch_max7,agg_motifs,deamidation_sites,isomerization_sites,cmc_flags,immuno_risk_level,immuno_tcia_score,immuno_n_high,immuno_n_medium,immuno_n_tolerated,immuno_n_clusters
Amdokitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Amdokitug.pdb,86.76766204438451,53,4.755340543511796,2.6982004642486572,475.64490188631527,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.35,-0.354,40.3,1.9,0.667,3.0,0,2,1,hydro_patch_moderate (0.67),HIGH,0.7619,11,1,44,4
Amtabafusp,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Amtabafusp.pdb,89.87482489170374,83,4.496501929919516,0.6005469560623169,463.44637642877416,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.02,-0.239,38.0,5.1,0.556,4.0,0,2,2,,HIGH,0.4547,7,22,30,5
Anrukinzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Anrukinzumab.pdb,81.72870906366354,77,4.5902040488943605,0.815462589263916,506.11217739657195,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.85,-0.304,41.1,-0.1,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.7778,16,1,51,4
Anvatabart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Anvatabart.pdb,83.95420399348158,71,4.707819249531994,2.683919906616211,495.2073035069108,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.61,-0.334,40.7,3.0,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.7327,31,4,32,5
Aplitabart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Aplitabart.pdb,84.22723473951645,71,4.582785334278955,0.57036292552948,437.6933905624576,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.83,-0.3,38.1,3.9,0.667,3.0,1,1,2,hydro_patch_moderate (0.67),HIGH,0.7444,16,1,49,4
Armocibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Armocibart.pdb,75.07294435630509,79,4.623646365571346,0.9073113203048706,553.1029474477108,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.79,-0.318,37.6,-0.2,0.556,3.0,1,0,2,,HIGH,0.6319,22,7,30,3
Aselizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Aselizumab.pdb,82.7743147696323,64,4.755208526639377,2.8347036838531494,509.04385406503667,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.76,-0.39,43.7,-5.2,0.667,3.0,0,1,4,pI_unusually_low (4.76); hydro_patch_moderate (0.67),HIGH,0.7154,13,1,52,4
Atezolizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Atezolizumab.pdb,87.13257874349071,69,4.68634541589509,1.9547312259674072,503.3305811541539,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.87,-0.232,40.5,1.1,0.667,3.0,0,1,2,hydro_patch_moderate (0.67),HIGH,0.8025,15,0,41,5
Avitotamig,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Avitotamig.pdb,80.44912737960692,60,4.7561706959664285,2.6762101650238037,576.3564979067945,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-8,,8.54,-0.379,42.4,2.8,0.556,3.0,1,0,0,,HIGH,0.6877,35,3,28,5
Avizakimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Avizakimab.pdb,84.59947347820874,62,4.640653609538424,1.8008699417114258,538.7192662760143,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,8.6,-0.393,33.1,3.0,0.556,3.0,1,0,0,,HIGH,0.6199,8,7,41,4
Axatilimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Axatilimab.pdb,77.79983438501903,85,4.583975301766899,1.9327516555786133,475.8880873376419,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.01,-0.327,39.0,-3.2,0.778,3.0,1,0,2,pI_unusually_low (5.01); hydro_patch_high (0.78),HIGH,0.7599,20,1,43,4
Azintuxizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Azintuxizumab.pdb,80.98692207650018,66,4.688128995303042,2.327263116836548,455.5864166057792,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.87,-0.283,41.3,1.1,0.556,3.0,0,3,2,,HIGH,0.679,28,3,51,5
Azirkitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Azirkitug.pdb,85.07923704700524,65,4.694122250823232,1.7414759397506714,465.832578364796,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.64,-0.245,37.8,3.0,0.667,3.0,1,1,1,hydro_patch_moderate (0.67),HIGH,0.6667,19,12,27,5
Balertatug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Balertatug.pdb,77.46291828962511,66,4.730835282548945,1.9661407470703125,537.2552003236374,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.78,-0.398,24.9,0.9,0.667,2.0,1,0,1,hydro_patch_moderate (0.67),HIGH,0.6173,8,6,43,5
Bapineuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bapineuzumab.pdb,80.4442999457719,74,4.650673413337571,1.5398861169815063,480.33076797072204,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.33,-0.366,44.5,2.0,0.556,3.0,1,2,3,,HIGH,0.6814,22,1,52,4
Barzolvolimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Barzolvolimab.pdb,84.59439456121108,63,4.699305474144458,0.3399795889854431,558.8695240229464,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,9.22,-0.431,24.0,7.7,0.556,3.0,0,1,0,,HIGH,0.7173,29,7,16,4
Becotatug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Becotatug.pdb,82.68746441543738,82,4.647448770402017,1.5741556882858276,489.40186150355953,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.04,-0.346,32.0,-5.1,0.667,3.0,0,1,0,pI_unusually_low (5.04); hydro_patch_moderate (0.67),HIGH,0.6034,14,15,39,5
Belantamab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Belantamab.pdb,82.55533970559088,69,4.638457796311891,1.6047269105911255,632.230708925584,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.76,-0.476,32.9,4.0,0.556,3.0,1,0,1,,HIGH,0.6436,23,4,40,4
Bemarituzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bemarituzumab.pdb,82.86358480710719,57,4.714067951001619,2.272411584854126,631.3146309797729,,H1-10-1,H2-16-?,H3-5,L1-11-1,L2-7-1,L3-9,,8.58,-0.419,26.3,2.9,0.556,3.0,0,1,0,,HIGH,0.582,15,9,32,4
Benmelstobart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Benmelstobart.pdb,84.05231947370017,77,4.667673149458071,1.1233991384506226,458.3459117438793,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.3,-0.253,30.9,1.8,0.778,3.0,1,1,0,hydro_patch_high (0.78),HIGH,0.6296,20,0,18,5
Benralizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Benralizumab.pdb,82.25251572931678,69,4.6813223163856135,1.2622796297073364,564.9992255120377,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.77,-0.395,34.5,4.0,0.556,3.0,0,0,1,,HIGH,0.6852,24,9,32,5
Bepranemab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bepranemab.pdb,76.40119609131298,77,4.715779156582653,2.248645305633545,504.2283959746725,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.18,-0.285,28.0,-4.0,0.556,3.0,0,0,2,pI_unusually_low (5.18),HIGH,0.6892,19,6,51,5
Betifisolimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Betifisolimab.pdb,77.54294198447033,72,4.721815098862485,2.1509792804718018,547.7762789287789,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.76,-0.398,30.4,3.9,0.556,4.0,0,2,0,,HIGH,0.6675,31,17,0,5
Betinukibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Betinukibart.pdb,77.87922165553476,63,4.722250191574423,2.286726236343384,569.2221831549258,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.78,-0.293,32.1,-2.9,0.556,3.0,0,1,0,,HIGH,0.6532,16,9,37,4
Bevacizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bevacizumab.pdb,86.22396399983005,69,4.665337518432466,1.6150346994400024,535.1788353450818,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.06,-0.331,36.4,0.1,0.556,3.0,1,1,0,,HIGH,0.7462,27,0,37,5
Bexmarilimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bexmarilimab.pdb,81.37002599723537,79,4.5132056679681085,0.616004467010498,489.62725245049745,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.78,-0.403,41.5,4.2,0.778,3.0,0,0,0,hydro_patch_high (0.78),HIGH,0.5733,23,0,37,5
Bimekizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bimekizumab.pdb,83.53134090495395,81,4.610879608756345,0.5799586176872253,481.0765951566536,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.87,-0.354,35.2,1.0,0.667,3.0,2,3,1,hydro_patch_moderate (0.67),HIGH,0.7004,19,11,37,4
Birtamimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Birtamimab.pdb,76.84139480512084,67,4.682817958509331,1.8391155004501343,498.97863364390025,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.6,-0.29,49.5,3.1,0.556,3.0,0,2,3,,HIGH,0.6576,11,8,48,4
Blosozumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Blosozumab.pdb,85.67333998328077,82,4.56138349300673,0.37912827730178833,562.5813759570218,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.42,-0.446,35.7,-3.1,0.667,3.0,1,0,0,pI_unusually_low (5.42); hydro_patch_moderate (0.67),HIGH,0.5597,11,10,35,4
Bococizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bococizumab.pdb,82.44621565272855,74,4.549570974635978,0.6343612670898438,608.5281293195256,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,9.3,-0.438,42.5,7.8,0.556,3.0,0,0,0,,HIGH,0.6263,7,6,51,5
Bocunebart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bocunebart.pdb,83.07948784552389,53,4.646248371955846,2.794267416000366,597.213041969122,,H1-10-1,H2-16-?,H3-4,L1-11-1,L2-7-1,L3-9,,4.79,-0.159,37.3,-5.2,0.667,3.0,0,3,0,pI_unusually_low (4.79); hydro_patch_moderate (0.67),HIGH,0.7321,34,5,30,5
Bosakitug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bosakitug.pdb,84.14810249792572,68,4.725685346003023,2.529629945755005,550.3215645717938,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.78,-0.421,41.4,1.0,0.667,3.0,1,0,2,hydro_patch_moderate (0.67),HIGH,0.6111,10,7,39,3
Briquilimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Briquilimab.pdb,78.65574744386625,66,4.753835697797523,1.9978128671646118,581.2259979357852,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.74,-0.431,29.5,-2.1,0.667,3.0,1,2,1,hydro_patch_moderate (0.67),HIGH,0.5244,8,13,44,5
Brivestobart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Brivestobart.pdb,81.96716545576668,60,4.716086848945674,1.681079626083374,548.7703861821236,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.89,-0.352,34.9,-1.2,0.667,4.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.7037,29,6,26,5
Brolucizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Brolucizumab.pdb,85.10624154586596,84,4.679019701261462,1.826391577720642,478.2317809070669,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.93,-0.116,31.5,-5.0,0.667,4.0,1,4,0,pI_unusually_low (4.93); hydro_patch_moderate (0.67),HIGH,0.7578,29,1,28,4
Brontictuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Brontictuzumab.pdb,86.81309610574483,79,4.706393814175987,1.7478448152542114,521.7773207566524,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.81,-0.325,28.3,3.8,0.556,4.0,0,0,1,,HIGH,0.5,10,8,28,5
Budigalimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Budigalimab.pdb,79.53758611570491,59,4.766821146806081,2.5185437202453613,571.1039330135761,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.38,-0.343,39.6,-4.8,0.556,3.0,0,0,0,pI_unusually_low (5.38),HIGH,0.592,14,11,38,3
Budoprutug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Budoprutug.pdb,82.91932930860517,69,4.606247089049395,1.8671660423278809,602.9134762380271,,H1-10-1,H2-16-?,H3-8,L1-10-1,L2-7-1,L3-7,,6.35,-0.579,42.9,-1.0,0.556,3.0,0,0,3,,HIGH,0.6519,46,10,0,5
Bulumtatug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Bulumtatug.pdb,75.217569253084,68,4.722179538046407,2.1413686275482178,546.4196371191977,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.3,-0.171,36.1,1.9,0.667,2.0,1,2,1,hydro_patch_moderate (0.67),HIGH,0.7778,22,3,37,2
Burfiralimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Burfiralimab.pdb,83.95071053398712,76,4.567851081269633,1.2501471042633057,617.3158197790829,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.3,-0.399,32.2,1.9,0.667,3.0,1,0,1,hydro_patch_moderate (0.67),HIGH,0.6403,17,4,38,5
Cabiralizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cabiralizumab.pdb,77.0924161342315,61,4.711936172328802,1.6936774253845215,587.2339273666329,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,4.96,-0.357,44.1,-5.2,0.667,3.0,1,1,1,pI_unusually_low (4.96); hydro_patch_moderate (0.67),HIGH,0.6204,12,6,38,5
Cafelkibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cafelkibart.pdb,76.62521592916931,75,4.6648221303907675,1.5623615980148315,475.85148254723987,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.31,-0.337,42.5,2.0,0.556,3.0,2,0,2,,HIGH,0.6603,21,12,31,4
Camrelizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Camrelizumab.pdb,86.76476312143244,67,4.622564250294728,1.4447109699249268,492.3501126912657,,H1-10-1,H2-16-?,H3-7,L1-11-1,L2-7-1,L3-9,,7.85,-0.167,38.4,0.8,0.556,3.0,0,2,2,,HIGH,0.7646,17,4,49,3
Cantuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cantuzumab.pdb,78.5419827008792,65,4.699798920299498,1.4966219663619995,540.9636541016591,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.79,-0.286,39.0,3.9,0.556,3.0,2,1,0,,HIGH,0.6463,40,19,0,5
Caxmotabart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Caxmotabart.pdb,83.95420399348158,71,4.707819249531994,2.683919906616211,495.2073035069108,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.61,-0.334,40.7,3.0,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.7327,31,4,32,5
Cendakimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cendakimab.pdb,80.09329676372327,78,4.669988440760749,0.5922929644584656,473.5783138058972,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.79,-0.306,32.2,4.0,0.778,3.0,1,0,0,hydro_patch_high (0.78),HIGH,0.6184,45,13,10,5
Cenzestotug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cenzestotug.pdb,87.79062940563354,64,4.5854208037379,1.0160247087478638,539.2430208222484,,H1-10-1,H2-16-?,H3-5,L1-11-1,L2-7-1,L3-9,,8.35,-0.192,35.1,1.8,0.667,2.0,1,2,0,hydro_patch_moderate (0.67),HIGH,0.7553,25,2,23,3
Cergutuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cergutuzumab.pdb,82.6421238775744,74,4.672305396827952,1.89983332157135,554.3884269477004,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.55,-0.345,34.4,2.8,0.667,3.0,0,0,0,hydro_patch_moderate (0.67),HIGH,0.5326,10,14,41,5
Certolizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Certolizumab.pdb,85.23994376937934,71,4.664360654267503,1.7907336950302124,577.6803061461552,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,7.83,-0.228,32.2,0.8,0.667,3.0,0,1,1,hydro_patch_moderate (0.67),HIGH,0.784,18,0,35,5
Ciletatug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Ciletatug.pdb,74.55227248942649,76,4.693925162343418,1.8351625204086304,541.5668307281697,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.55,-0.361,33.0,2.7,0.667,3.0,1,2,0,hydro_patch_moderate (0.67),HIGH,0.6316,15,6,37,5
Ciltistotug,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Ciltistotug.pdb,76.30129819875529,55,4.682806912492932,1.459683895111084,581.0966271503105,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-9,,9.14,-0.361,35.2,6.2,0.556,3.0,2,3,0,,HIGH,0.6429,16,11,25,5
Clazakizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Clazakizumab.pdb,86.49352880006036,70,4.660617454766323,1.0195860862731934,491.61397993666424,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.49,-0.257,35.2,-1.2,0.556,4.0,0,2,1,pI_unusually_low (5.49),HIGH,0.8148,16,0,43,5
Clivatuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Clivatuzumab.pdb,82.4471180668351,83,4.513579151805743,0.5531941652297974,534.4427182984437,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.77,-0.411,34.5,3.9,0.556,3.0,1,0,2,,HIGH,0.5464,23,20,16,5
Cobolimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cobolimab.pdb,87.31756681652821,51,4.659853312726083,1.231146216392517,547.5619188990457,,H1-10-1,H2-16-?,H3-3,L1-11-1,L2-7-1,L3-9,,8.64,-0.295,48.4,3.0,0.556,3.0,0,2,1,,HIGH,0.8008,17,1,43,4
Codrituzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Codrituzumab.pdb,77.48800380134827,57,4.699700218074176,2.281270742416382,584.0135317883186,,H1-10-1,H2-16-?,H3-6,L1-11-1,L2-7-1,L3-9,,8.58,-0.409,39.1,3.1,0.556,3.0,0,0,0,,HIGH,0.6717,20,14,34,5
Cofetuzumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Cofetuzumab.pdb,79.03281323769473,75,4.659170307938452,1.5162550210952759,489.5736909137476,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,6.92,-0.463,39.9,-0.1,0.556,3.0,0,1,1,,HIGH,0.7169,28,10,29,5
Comekibart,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Comekibart.pdb,84.62857502663147,84,4.5659888449206205,0.5065357089042664,477.1607805555316,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.82,-0.232,39.7,4.0,0.556,3.0,1,2,0,,HIGH,0.7556,28,3,52,4
Concizumab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Concizumab.pdb,82.27135978997694,74,4.700630056778056,2.272998332977295,467.6796201696088,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,5.24,-0.244,46.1,-3.1,0.778,4.0,2,2,4,pI_unusually_low (5.24); hydro_patch_high (0.78),HIGH,0.8148,9,0,53,5
Coprelotamab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Coprelotamab.pdb,83.95420399348158,71,4.707819249531994,2.683919906616211,495.2073035069108,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.61,-0.334,40.7,3.0,0.667,3.0,0,2,2,hydro_patch_moderate (0.67),HIGH,0.7327,31,4,32,5
Crefmirlimab,D:\InSynBio-AI-Research\Antibody_Engineer_Suite\data\structures\engineered\Crefmirlimab.pdb,81.22884279749321,68,4.683066749074752,1.6598923206329346,550.1557958174333,,H1-10-1,H2-16-?,H3-8,L1-11-1,L2-7-1,L3-9,,8.34,-0.322,39.6,2.1,0.444,3.0,0,1,0,,HIGH,0.7026,29,6,35,5
