ab_id,vh_germline,vl_germline,vh_identity,vl_identity,origin
Divozilimab,IGHV1-46*01,IGKV1-13*01,0.8673,0.6809,engineered_458
Domagrozumab,IGHV3-23*03,IGKV1-39*01,0.949,0.8632,engineered_458
Domvanalimab,IGHV3-48*01,IGKV1-9*03,0.9082,0.9053,engineered_458
Donanemab,IGHV1-3*01,IGKV2-29*02,0.8469,0.89,engineered_458
Donitabart,IGHV1-2*02,IGKV2D-29*02,0.8061,0.81,engineered_458
Donzakimig2,IGHV1-69*02,IGKV1-39*01,0.8163,0.8211,engineered_458
Dostarlimab,IGHV3-23*01,IGKV1-9*01,0.9286,0.8526,engineered_458
Dresbuxelimab,IGHV1-46*01,IGKV4-1*01,0.8163,0.8911,engineered_458
Drotokibart,IGHV3-48*01,IGKV1-13*01,0.8878,0.6702,engineered_458
Duligotuzumab,IGHV3-23*04,IGKV1-39*01,0.8367,0.8737,engineered_458
Ebdarokimab,IGHV5-51*01,IGKV3-11*01,0.8469,0.8421,engineered_458
Ebribafusp,IGHV1-46*01,IGKV2-30*01,0.8571,0.91,engineered_458
Eclutatug,IGHV3-21*01,IGKV3-15*01,0.949,0.8421,engineered_458
Eculizumab,IGHV1-46*01,IGKV1-39*01,0.8367,0.8421,engineered_458
Eglatoprutug,IGHV1-3*01,IGKV7-3*01,0.8776,0.6465,engineered_458
Elegrobart,IGHV1-46*01,IGKV2-30*02,0.7755,0.81,engineered_458
Elezanumab,IGHV1-18*01,IGKV2-40*01,0.9286,0.1485,engineered_458
Elotuzumab,IGHV3-48*01,IGKV1-27*01,0.8367,0.8421,engineered_458
Eltrekibart,IGHV1-46*01,IGKV3-11*01,0.8673,0.8526,engineered_458
Emactuzumab,IGHV1/OR15-2*02,IGKV1-39*01,0.7423,0.8632,engineered_458
Emibetuzumab,IGHV1-2*06,IGKV3-7*02,0.8878,0.6979,engineered_458
Empasiprubart,IGHV1-8*01,IGKV7-3*01,0.8265,0.7071,engineered_458
Emugrobart,IGHV3-66*01,IGKV3-20*02,0.6907,0.3444,engineered_458
Emunkitug,IGHV1-18*01,IGKV1-13*01,0.8265,0.7553,engineered_458
Enavatuzumab,IGHV3-15*01,IGKV7-3*01,0.82,0.6263,engineered_458
Encelimab,IGHV1-69-2*01,IGKV2D-29*02,0.7653,0.89,engineered_458
Enibarcimab,IGHV1-69*01,IGKV2-30*01,0.8469,0.88,engineered_458
Enoblituzumab,IGHV3-48*02,IGKV1-9*01,0.9184,0.8421,engineered_458
Enzelkitug,IGHV3-66*01,IGKV1-33*01,0.7938,0.8316,engineered_458
Epacmarstobart,IGHV1-2*02,IGKV1-39*01,0.7959,0.8632,engineered_458
Epratuzumab,IGHV1-3*01,IGKV4-1*01,0.7653,0.7723,engineered_458
Eptinezumab,IGHV3-66*01,IGKV3-7*02,0.8144,0.4792,engineered_458
Erlizumab,IGHV3-74*01,IGKV1-39*01,0.7143,0.8737,engineered_458
Etakafusp,IGHV1-69*01,IGKV1-39*01,0.9694,0.9053,engineered_458
Etalanetug,IGHV3-23*03,IGKV2-29*02,0.8061,0.65,engineered_458
Etaracizumab,IGHV3-30*01,IGKV3-11*01,0.8776,0.8316,engineered_458
Etigilimab,IGHV4-38-2*01,IGKV1-33*01,0.8878,0.8526,engineered_458
Etokimab,IGHV1-46*01,IGKV1-9*01,0.8776,0.8526,engineered_458
Etrolizumab,IGHV3-66*01,IGKV1-39*01,0.8144,0.8526,engineered_458
Eurestobart,IGHV1-3*01,IGKV1-13*01,0.7959,0.6277,engineered_458
Exidavnemab,IGHV4-59*03,IGKV2-28*01,0.8021,0.85,engineered_458
Exlinkibart,IGHV1-2*02,IGKV1-39*01,0.8878,0.8526,engineered_458
Ezabenlimab,IGHV3-23*04,IGKV7-3*01,0.8673,0.6768,engineered_458
Falbikitug,IGHV3-15*01,IGKV2-24*01,0.86,0.9,engineered_458
Farletuzumab,IGHV3-30*03,IGKV3-7*02,0.8265,0.6354,engineered_458
Favezelimab,IGHV1-58*01,IGKV2/OR2-7D*01,0.8469,0.63,engineered_458
Feladilimab,IGHV1-69*04,IGKV1-13*01,0.8469,0.6596,engineered_458
Felzartamab,IGHV3-23*04,IGKV1-13*01,0.9082,0.4468,engineered_458
Fepixnebart,IGHV1-69*02,IGKV2-30*02,0.8367,0.75,engineered_458
Ficlatuzumab,IGHV1-46*01,IGKV1-39*01,0.8265,0.6737,engineered_458
Finotonlimab,IGHV3-21*07,IGKV7-3*01,0.8673,0.697,engineered_458
Firastotug,IGHV4-38-2*01,IGKV3-20*02,0.6429,0.7556,engineered_458
Fontolizumab,IGHV1-69*02,IGKV1-39*01,0.7551,0.8105,engineered_458
Fremanezumab,IGHV3-15*01,IGKV3-11*01,0.79,0.8526,engineered_458
Frexalimab,IGHV4-59*03,IGKV1-33*01,0.8125,0.7684,engineered_458
Frovocimab,IGHV3-21*01,IGKV2-28*01,0.8878,0.87,engineered_458
Futermestotug,IGHV3-23*04,IGKV1-9*01,0.9082,0.8526,engineered_458
Galcanezumab,IGHV1-69*02,IGKV1-39*01,0.8265,0.8737,engineered_458
Galegenimab,IGHV1-46*01,IGKV1-13*01,0.7755,0.7872,engineered_458
Galvokimig2,IGHV1-69*02,IGKV1-39*01,0.8163,0.8211,engineered_458
Garetatug,IGHV1-3*01,IGKV4-1*01,0.8776,0.901,engineered_458
Garivulimab,IGHV3-66*01,IGKV1-5*01,0.8351,0.8316,engineered_458
Gatipotuzumab,IGHV3-72*01,IGKV2-28*01,0.85,0.86,engineered_458
Gatralimab,IGHV3-72*01,IGKV2-29*02,0.85,0.87,engineered_458
Gemtuzumab,IGHV1-18*02,IGKV7-3*01,0.7174,0.6162,engineered_458
Geptanolimab,IGHV7-4-1*02,IGKV7-3*01,0.8571,0.8081,engineered_458
Gevokizumab,IGHV4-30-4*07,IGKV1-39*01,0.7374,0.8211,engineered_458
Giloralimab,IGHV4-38-2*02,IGKV2-29*02,0.8673,0.86,engineered_458
Gimistotug,IGHV1-46*01,IGKV1-16*01,0.8469,0.8737,engineered_458
Glenzocimab,IGHV1-46*01,IGKV2-30*01,0.9286,0.64,engineered_458
Gocatamig1,IGHV3-73*01,IGKV2-40*01,0.85,0.1485,engineered_458
Gosuranemab,IGHV3-21*07,IGKV2-30*02,0.8469,0.84,engineered_458
Gruticibart,IGHV4-4*08,IGKV1-33*01,0.7629,0.8211,engineered_458
Gumokimab,IGHV4-38-2*02,IGKV2-30*02,0.8673,0.87,engineered_458
Ibalizumab,IGHV1-46*01,IGKV4-1*01,0.7653,0.9109,engineered_458
Ibentatug,IGHV3-23*04,IGKV2-28*01,0.8673,0.83,engineered_458
Idarucizumab,IGHV4-59*03,IGKV2-30*01,0.8229,0.88,engineered_458
Ieramilimab,IGHV7-4-1*02,IGKV1-33*01,0.8571,0.8316,engineered_458
Ifabotuzumab,IGHV1-2*02,IGKV1D-16*01,0.9184,0.9158,engineered_458
Ifinatamab,IGHV1-3*01,IGKV1-13*01,0.8367,0.6596,engineered_458
Iladatuzumab,IGHV3-23*04,IGKV7-3*01,0.7653,0.6364,engineered_458
Imaprelimab,IGHV4-59*05,IGKV1-16*01,0.625,0.8316,engineered_458
Imgatuzumab,IGHV1-69*02,IGKV1-17*01,0.8673,0.9053,engineered_458
Imneskibart,IGHV1-2*02,IGKV4-1*01,0.8367,0.8812,engineered_458
Imsidolimab,IGHV1-46*01,IGKV2D-29*01,0.8469,0.84,engineered_458
Imzokitug,IGHV1-2*02,IGKV2D-29*01,0.8571,0.9,engineered_458
Inebilizumab,IGHV3-23*03,IGKV7-3*01,0.7959,0.6566,engineered_458
Inotuzumab,IGHV1-46*01,IGKV2-29*02,0.8265,0.63,engineered_458
Invikafusp,IGHV1-3*01,IGKV1-9*01,0.7959,0.7895,engineered_458
Iparomlimab,IGHV1-46*01,IGKV4-1*01,0.8571,0.7525,engineered_458
Ispectamab,IGHV3-23*04,IGKV1-39*01,0.8163,0.8632,engineered_458
Isuventatug,IGHV3-11*01,IGKV2-28*01,0.9184,0.86,engineered_458
Itolizumab,IGHV3-21*01,IGKV1-17*01,0.8367,0.7684,engineered_458
Ixekizumab,IGHV1-69*01,IGKV2D-29*02,0.8469,0.89,engineered_458
Ixotatug,IGHV3-15*07,IGKV1-39*01,0.79,0.8316,engineered_458
Izeltabart,IGHV3-64*01,IGKV7-3*01,0.8163,0.6768,engineered_458
Labetuzumab,IGHV3-48*01,IGKV1-33*01,0.7449,0.8211,engineered_458
Lacnotuzumab,IGHV4-38-2*02,IGKV6D-41*01,0.8265,0.8105,engineered_458
Lacutamab,IGHV7-4-1*02,IGKV1-NL1*01,0.8469,0.7789,engineered_458
Ladiratuzumab,IGHV1-2*02,IGKV2-30*02,0.8673,0.89,engineered_458
Lampalizumab,IGHV7-4-1*02,IGKV1-27*01,0.8878,0.7789,engineered_458
Lancastotug,IGHV4-38-2*02,IGKV1-39*01,0.8571,0.8526,engineered_458
Landogrozumab,IGHV3-23*04,IGKV3-20*02,0.898,0.8889,engineered_458
Lasrekibart,IGHV3-23*02,IGKV1-12*01,0.8776,0.8316,engineered_458
Laventatug,IGHV1-69-2*01,IGKV2-29*02,0.8673,0.89,engineered_458
Lebrikizumab,IGHV4-59*03,IGKV7-3*01,0.6146,0.6869,engineered_458
Lecanemab,IGHV3-48*01,IGKV2-30*02,0.898,0.84,engineered_458
Lecankitug,IGHV1-46*01,IGKV2D-29*01,0.8367,0.89,engineered_458
Lenvervimab,IGHV3-21*01,IGKV1-NL1*01,0.8367,0.8737,engineered_458
Leronlimab,IGHV3-23*03,IGKV2D-29*02,0.6837,0.87,engineered_458
Levilimab,IGHV3-66*01,IGKV7-3*01,0.8557,0.596,engineered_458
Licaminlimab,IGHV3-72*01,IGKV1-33*01,0.6,0.3053,engineered_458
Lifastuzumab,IGHV3-23*04,IGKV2-29*02,0.8571,0.63,engineered_458
Ligelizumab,IGHV1-69*01,IGKV3-15*01,0.8061,0.8632,engineered_458
Ligufalimab,IGHV1-46*01,IGKV3-11*01,0.7959,0.7474,engineered_458
Lintuzumab,IGHV1-3*01,IGKV7-3*01,0.7959,0.6566,engineered_458
Lipustobart,IGHV1-46*01,IGKV7-3*01,0.8469,0.6667,engineered_458
Lirentelimab,IGHV3-66*01,IGKV1-13*01,0.7938,0.6489,engineered_458
Litifilimab,IGHV3-71*01,IGKV7-3*01,0.7576,0.6162,engineered_458
Livmoniplimab,IGHV1-46*01,IGKV1-39*01,0.8571,0.8526,engineered_458
Lixudebart,IGHV3-21*01,IGKV3-15*01,0.949,0.8421,engineered_458
Lodelcizumab,IGHV1-2*06,IGKV1-13*01,0.898,0.617,engineered_458
Lonigutamab,IGHV1-46*01,IGKV1-39*01,0.9184,0.8632,engineered_458
Lorvotuzumab,IGHV3-30*03,IGKV2-30*02,0.9184,0.92,engineered_458
Losatuxizumab,IGHV4-38-2*02,IGKV1-12*01,0.7755,0.7474,engineered_458
Lucorafusp,IGHV4-38-2*02,IGKV1-39*01,0.8571,0.8526,engineered_458
Lumistobart,IGHV4-38-2*02,IGKV4-1*01,0.8878,0.9109,engineered_458
Lumretuzumab,IGHV1-18*01,IGKV4-1*01,0.898,0.9307,engineered_458
Lumrotatug,IGHV4-59*03,IGKV3-15*01,0.8438,0.7579,engineered_458
Lusvertikimab,IGHV3-11*01,IGKV1-NL1*01,0.9082,0.8632,engineered_458
Luvagrobart,IGHV4-4*08,IGKV1-39*01,0.8041,0.8632,engineered_458
Luveltamab,IGHV3-23*04,IGKV1-39*01,0.7857,0.8632,engineered_458
Magrolimab,IGHV1-3*01,IGKV2-28*01,0.8776,0.86,engineered_458
Manfidokimab,IGHV1-2*02,IGKV1-39*01,0.8163,0.8316,engineered_458
Matuzumab,IGHV1-46*01,IGKV1-13*01,0.8163,0.766,engineered_458
Mavrostobart,IGHV3-23*03,IGKV4-1*01,0.7041,0.802,engineered_458
Mazorelvimab,IGHV3-48*03,IGKV2D-29*02,0.8571,0.88,engineered_458
Mecbotamab,IGHV5-10-1*01,IGKV1-5*01,0.7347,0.7789,engineered_458
Mepolizumab,IGHV4-4*08,IGKV4-1*01,0.6186,0.9109,engineered_458
Mezagitamab,IGHV3-23*01,IGKV3D-20*01,0.8878,0.4896,engineered_458
Milatuzumab,IGHV7-4-1*02,IGKV2-30*02,0.8163,0.86,engineered_458
Mipasetamab,IGHV3-30*03,IGKV3-20*02,0.9286,0.8444,engineered_458
Miptenalimab,IGHV2-5*11,IGKV1-39*01,0.6162,0.8211,engineered_458
Mirikizumab,IGHV1-2*02,IGKV1-39*01,0.8265,0.8526,engineered_458
Misitatug,IGHV3-48*01,IGKV1-13*01,0.8061,0.617,engineered_458
Mitazalimab,IGHV3-21*05,IGKV2/OR22-4*01,0.8673,0.17,engineered_458
Mogamulizumab,IGHV3-21*01,IGKV2-28*01,0.8367,0.82,engineered_458
Monalizumab,IGHV1-18*01,IGKV1-39*01,0.898,0.8737,engineered_458
Motavizumab,IGHV2-70*01,IGKV1-13*01,0.86,0.7766,engineered_458
Mozistobart,IGHV3-48*03,IGKV1-39*01,0.898,0.8737,engineered_458
Mupadolimab,IGHV1-69*02,IGKV7-3*01,0.8265,0.6364,engineered_458
Murlentamab,IGHV1-3*01,IGKV1-13*01,0.9082,0.7766,engineered_458
Muzastotug,IGHV4-38-2*01,IGKV3-20*02,0.6429,0.7556,engineered_458
Nadunolimab,IGHV1-69*02,IGKV1-33*01,0.8367,0.8526,engineered_458
Natalizumab,IGHV1-3*01,IGKV1-33*01,0.8367,0.8,engineered_458
Navenibart,IGHV1-69*02,IGKV1-16*01,0.8061,0.8211,engineered_458
Naxitamab,IGHV3-53*03,IGKV3-15*01,0.6804,0.7474,engineered_458
Nebokitug,IGHV7-4-1*03,IGKV7-3*01,0.7363,0.6869,engineered_458
Nelmastobart,IGHV1-46*01,IGKV1-33*01,0.8469,0.8737,engineered_458
Nemolizumab,IGHV1-2*02,IGKV1-39*01,0.8367,0.8211,engineered_458
Nezutatug,IGHV4-38-2*02,IGKV1-12*01,0.8878,0.8526,engineered_458
Nimacimab,IGHV1-69*02,IGKV3-20*02,0.8673,0.9222,engineered_458
Nimotuzumab,IGHV1-69*03,IGKV2-30*02,0.7802,0.63,engineered_458
Nofazinlimab,IGHV1-69*02,IGKV2-30*01,0.8265,0.91,engineered_458
Obexelimab,IGHV1-3*01,IGKV2-28*01,0.7347,0.69,engineered_458
Obinutuzumab,IGHV1-69*02,IGKV2-28*01,0.8469,0.87,engineered_458
Ocankitug,IGHV1-46*01,IGKV1-39*01,0.8776,0.8632,engineered_458
Ocaratuzumab,IGHV5-51*01,IGKV1-13*01,0.8367,0.6489,engineered_458
Ociperlimab,IGHV3-23*04,IGKV3-15*01,0.8878,0.8737,engineered_458
Ocrelizumab,IGHV3-23*04,IGKV1-13*01,0.8163,0.8085,engineered_458
Olendalizumab,IGHV1-46*01,IGKV7-3*01,0.8776,0.6566,engineered_458
Olintatug,IGHV1-46*01,IGKV2-29*02,0.8061,0.89,engineered_458
Oloctinebart,IGHV1-3*01,IGKV2D-29*02,0.8776,0.89,engineered_458
Olokizumab,IGHV3-72*01,IGKV1-17*01,0.84,0.8526,engineered_458
Omalizumab,IGHV4-38-2*01,IGKV7-3*01,0.6735,0.6364,engineered_458
Omectatug,IGHV1-8*01,IGKV4-1*01,0.8571,0.8812,engineered_458
Onartuzumab,IGHV3-23*04,IGKV4-1*01,0.7653,0.802,engineered_458
Ongericimab,IGHV4-59*03,IGKV1-33*01,0.7917,0.8421,engineered_458
Ontuxizumab,IGHV1-46*01,IGKV1-33*01,0.5918,0.8316,engineered_458
Oportuzumab,IGHV7-4-1*01,IGKV2-28*01,0.7551,0.63,engineered_458
Orilanolimab,IGHV1-18*01,IGKV1-NL1*01,0.7755,0.8316,engineered_458
Osemitamab,IGHV1-46*01,IGKV4-1*01,0.8776,0.9109,engineered_458
Otelixizumab,IGHV3-23*01,IGKV3D-20*02,0.9286,0.25,engineered_458
Otlertuzumab,IGHV5-10-1*04,IGKV3-11*01,0.8469,0.8737,engineered_458
Oturkibart,IGHV3-66*01,IGKV1/OR15-118*01,0.8351,0.3404,engineered_458
Ozanezumab,IGHV1-46*01,IGKV2-30*01,0.8469,0.8,engineered_458
Ozureprubart,IGHV3-23*04,IGKV7-3*01,0.6633,0.6263,engineered_458
Ozuriftamab,IGHV5-10-1*01,IGKV1-13*01,0.7857,0.6915,engineered_458
Palivizumab,IGHV2-70*01,IGKV1-13*01,0.87,0.7553,engineered_458
Pamlectabart,IGHV3-48*01,IGKV3-15*01,0.8367,0.9053,engineered_458
Paridiprubart,IGHV4-28*01,IGKV6-21*02,0.8469,0.9053,engineered_458
Parsatuzumab,IGHV3-74*01,IGKV2D-18*01,0.8061,0.64,engineered_458
Patecibart,IGHV2-5*09,IGKV6-21*02,0.88,0.9053,engineered_458
Pateclizumab,IGHV3-74*01,IGKV1-39*01,0.7653,0.8842,engineered_458
Pegrizeprument,IGHV1-2*02,IGKV1-39*01,0.6327,0.7474,engineered_458
Pembrolizumab,IGHV1-2*02,IGKV7-3*01,0.7959,0.6566,engineered_458
Penpulimab,IGHV3-23*04,IGKV1-16*01,0.8776,0.8,engineered_458
Pepinemab,IGHV1-46*01,IGKV7-3*01,0.8265,0.6869,engineered_458
Perakizumab,IGHV3-7*01,IGKV1-16*01,0.9082,0.8211,engineered_458
Peresolimab,IGHV1/OR15-2*02,IGKV1-39*01,0.6701,0.8526,engineered_458
Pertuzumab,IGHV3-23*04,IGKV1-16*01,0.7755,0.8421,engineered_458
Pexelizumab,IGHV1-46*01,IGKV1-39*01,0.8367,0.8316,engineered_458
Picankibart,IGHV1-2*02,IGKV1-39*01,0.9388,0.8842,engineered_458
Pidilizumab,IGHV7-4-1*03,IGKV1-13*01,0.8352,0.734,engineered_458
Pimurutamab,IGHV3-66*01,IGKV3-11*01,0.7835,0.8526,engineered_458
Pinatuzumab,IGHV3-23*03,IGKV2-24*01,0.7755,0.64,engineered_458
Pivekimab,IGHV1-3*01,IGKV1-16*01,0.8061,0.8105,engineered_458
Plonmarlimab,IGHV1-2*02,IGKV1-9*01,0.8571,0.7895,engineered_458
Plozalizumab,IGHV3-15*07,IGKV2-30*01,0.86,0.9,engineered_458
Podentamig2,IGHV3-73*01,IGKV2-40*01,0.85,0.1485,engineered_458
Polatuzumab,IGHV3-23*04,IGKV7-3*01,0.7653,0.6364,engineered_458
Polzastobart,IGHV2-5*01,IGKV1-33*01,0.86,0.8316,engineered_458
Ponezumab,IGHV1-46*04,IGKV2-30*01,0.8469,0.89,engineered_458
Posdinemab,IGHV3-66*01,IGKV1-16*01,0.8866,0.8526,engineered_458
Posnafusp,IGHV5-51*01,IGKV2D-29*02,0.8571,0.9,engineered_458
Pradusinstobart,IGHV2-5*08,IGKV1-16*01,0.89,0.8526,engineered_458
Prafnosbart,IGHV3-21*01,IGKV1-13*01,0.8776,0.5745,engineered_458
Praluzatamab,IGHV2-5*04,IGKV2-28*01,0.898,0.89,engineered_458
Prasinezumab,IGHV3-21*07,IGKV4-1*01,0.8776,0.7822,engineered_458
Prolgolimab,IGHV3-23*04,IGKV1-13*01,0.8571,0.4255,engineered_458
Pucotenlimab,IGHV3-23*04,IGKV7-3*01,0.8673,0.8182,engineered_458
Quavonlimab,IGHV3-72*01,IGKV1-27*01,0.83,0.7895,engineered_458
Quetmolimab,IGHV1-46*01,IGKV1-NL1*01,0.7551,0.8526,engineered_458
Quilizumab,IGHV3-48*01,IGKV2-30*02,0.8571,0.64,engineered_458
Ragifilimab,IGHV1-2*02,IGKV4-1*01,0.8061,0.9109,engineered_458
Ralpancizumab,IGHV1-46*01,IGKV1-33*01,0.9184,0.8421,engineered_458
Raludotatug,IGHV1-3*01,IGKV1-39*01,0.8673,0.8421,engineered_458
Ralzapastotug,IGHV4-4*10,IGKV3-15*01,0.9082,0.8632,engineered_458
