antibody_id,discovery_platform,ADI_natural384,pI,GRAVY,instability_index,net_charge_pH7,charge_patch_max7,Fv_charge_asymmetry,hydro_patch_max9,SAP_score,agg_motifs,hydro_cluster_count,glycosylation_sites,deamidation_sites,isomerization_sites,oxidation_sites,free_cys,total_cdr_length,psh,ppc,pnc,sfvcsp,vh_vl_angle_deg,interface_n_pairs,interface_mean_dist_A,interface_min_dist_A,vernier_sasa_total
Atisnolerbart,phage_display,73.84,8.33,-0.291,37.0,1.82,3.0,0.009,0.667,0.714,6.0,5.0,0.0,0.0,0.0,11.0,4.0,48.0,432.84,1.1,2.0,2.0,82.734964,66.0,4.645996,1.519688,534.29653
Atoltivimab,human_b_cell_derived,70.23,8.64,-0.306,47.0,2.99,3.0,0.908,0.778,0.857,5.0,2.0,0.0,2.0,2.0,10.0,4.0,44.0,157.19,1.1,2.0,6.3,85.798915,69.0,4.6684,0.576717,535.589147
Avdoralimab,phage_display,75.07,8.6,-0.25,41.1,2.89,3.0,0.92,0.556,0.714,4.0,4.0,0.0,2.0,1.0,7.0,4.0,51.0,462.07,2.0,2.0,6.0,81.346706,66.0,4.495311,0.839348,574.643113
Avelumab,phage_display,72.35,8.63,-0.18,36.5,2.89,4.0,0.992,0.667,0.714,4.0,2.0,0.0,2.0,0.0,8.0,4.0,51.0,559.06,2.0,1.0,3.3,88.322694,70.0,4.661504,1.379421,558.034041
Balonkibart,transgenic_animal,69.28,8.34,-0.201,43.8,1.89,3.0,3.867,0.667,0.714,1.0,1.0,0.0,2.0,0.0,7.0,4.0,47.0,585.36,1.0,2.0,0.4,86.226169,66.0,4.722754,2.330838,475.327127
Balstilimab,transgenic_animal,58.5,9.05,-0.33,44.8,4.9,2.0,0.904,0.778,0.857,8.0,5.0,0.0,3.0,2.0,9.0,4.0,40.0,210.48,1.0,1.0,16.0,86.632849,52.0,4.75011,2.150688,555.680831
Bamlanivimab,human_b_cell_derived,61.73,9.16,-0.297,49.2,6.81,3.0,1.087,0.667,0.714,1.0,1.0,0.0,0.0,0.0,8.0,4.0,52.0,984.03,2.0,1.0,9.0,81.14162,74.0,4.64947,1.757252,587.714691
Bapotulimab,transgenic_animal,71.8,8.32,-0.173,45.6,1.73,3.0,3.997,0.667,0.714,2.0,2.0,0.0,1.0,1.0,9.0,4.0,52.0,999.36,2.0,1.0,4.0,73.731744,63.0,4.702829,2.563483,596.29217
Barecetamab,phage_display,57.35,4.95,-0.318,42.6,-5.93,4.0,6.003,0.556,0.571,2.0,2.0,0.0,3.0,2.0,8.0,4.0,52.0,503.07,1.1,7.0,-3.6,89.19849,70.0,4.69673,2.333301,513.137349
Batoclimab,transgenic_animal,55.27,6.99,-0.175,35.1,-0.01,4.0,6.203,0.556,0.714,6.0,4.0,0.0,1.0,3.0,6.0,4.0,50.0,697.37,2.0,3.0,-5.89,83.233336,77.0,4.601384,1.598981,618.818416
Bebtelovimab,transgenic_animal,56.55,7.06,-0.213,35.5,0.07,4.0,4.172,0.778,0.857,7.0,4.0,0.0,0.0,0.0,7.0,4.0,49.0,455.46,2.0,3.0,-7.79,84.818485,71.0,4.69323,2.318149,542.27068
Befovacimab,transgenic_animal,72.61,8.34,-0.34,34.1,1.89,3.0,4.289,0.667,0.857,4.0,2.0,0.0,3.0,1.0,10.0,4.0,44.0,468.04,3.0,2.0,-5.0,87.415099,64.0,4.529898,0.599123,552.754004
Belimumab,phage_display,64.94,7.0,-0.362,41.3,0.0,4.0,6.388,0.667,0.714,7.0,5.0,0.0,0.0,2.0,9.0,4.0,52.0,774.8,4.3,2.0,-3.2,80.631098,63.0,4.710032,2.637533,606.290012
Belrestotug,transgenic_animal,69.59,8.62,-0.323,42.7,2.91,3.0,0.902,0.556,0.714,4.0,4.0,0.0,0.0,0.0,10.0,4.0,49.0,249.79,1.1,2.0,3.0,81.099946,70.0,4.673661,1.133164,621.064838
Beludavimab,phage_display,60.38,8.64,-0.375,31.5,2.82,3.0,2.831,0.556,0.714,5.0,5.0,0.0,0.0,0.0,9.0,4.0,54.0,289.79,1.0,2.0,3.3,76.466679,68.0,4.680019,1.942537,552.990378
Bempikibart,phage_display,74.21,7.88,-0.251,41.8,0.98,3.0,0.781,0.556,0.714,4.0,3.0,0.0,4.0,1.0,8.0,4.0,50.0,990.42,2.1,4.0,3.3,84.396834,64.0,4.726052,2.410146,494.666241
Bentracimab,human_b_cell_derived,73.65,6.13,-0.228,37.1,-1.1,3.0,2.813,0.667,0.714,5.0,3.0,0.0,1.0,1.0,8.0,4.0,60.0,1103.39,2.0,1.0,-3.6,81.046342,64.0,4.685334,2.141378,633.246824
Berlimatoxumab,transgenic_animal,67.89,8.6,-0.343,48.4,2.89,3.0,1.163,0.667,0.714,1.0,1.0,0.0,1.0,0.0,8.0,4.0,46.0,264.4,2.1,2.0,10.2,83.881699,69.0,4.680494,1.655471,500.589246
Bermekimab,human_b_cell_derived,59.27,9.05,-0.179,45.6,4.99,3.0,5.086,0.667,0.857,10.0,6.0,0.0,1.0,2.0,8.0,4.0,49.0,1573.81,3.2,1.0,10.92,83.569081,70.0,4.646527,2.384392,500.583163
Bersanlimab,transgenic_animal,57.89,6.84,-0.32,50.0,-0.11,4.0,1.987,0.778,0.857,9.0,5.0,0.0,2.0,3.0,10.0,4.0,49.0,301.48,1.0,2.0,0.0,88.216301,62.0,4.664193,1.739522,531.489485
Bezetabart,unlabeled,74.01,8.32,-0.261,38.6,1.99,3.0,1.906,0.778,0.857,7.0,3.0,1.0,2.0,2.0,9.0,4.0,50.0,253.17,1.0,1.0,3.41,85.302795,70.0,4.733287,2.663848,489.754555
Bezlotoxumab,human_b_cell_derived,62.48,8.99,-0.36,39.8,4.8,3.0,2.993,0.556,0.714,4.0,4.0,0.0,0.0,1.0,12.0,4.0,47.0,227.0,3.0,1.0,8.0,80.355917,75.0,4.616389,0.902788,535.235406
Bimagrumab,transgenic_animal,56.07,9.1,-0.304,35.8,5.8,4.0,1.918,0.556,0.571,1.0,1.0,0.0,0.0,0.0,9.0,4.0,47.0,231.64,2.0,1.0,6.3,84.936082,57.0,4.659402,2.266063,650.92248
Birinkibart,transgenic_animal,59.31,5.27,-0.361,32.6,-3.17,4.0,2.983,0.556,0.571,4.0,4.0,0.0,0.0,1.0,9.0,4.0,50.0,370.28,1.0,4.0,-4.0,82.353444,65.0,4.702477,2.601852,545.67903
Bleselumab,transgenic_animal,63.12,8.99,-0.245,40.8,4.81,3.0,3.047,0.556,0.714,3.0,2.0,0.0,1.0,0.0,5.0,4.0,47.0,395.9,1.0,2.0,10.2,80.595544,69.0,4.59639,0.927204,575.498352
Botensilimab,phage_display,70.11,8.86,-0.209,39.2,3.81,3.0,0.002,0.556,0.571,3.0,3.0,0.0,2.0,0.0,7.0,4.0,45.0,820.21,1.0,1.0,9.0,85.507998,65.0,4.641346,1.748499,524.929474
Brazikumab,transgenic_animal,63.57,6.13,-0.32,42.2,-1.09,4.0,1.004,0.778,0.857,7.0,4.0,0.0,2.0,3.0,10.0,4.0,56.0,302.17,2.0,3.0,0.0,86.832209,69.0,4.619878,1.080922,564.929885
Bremzalerbart,phage_display,66.32,8.63,-0.261,28.6,2.73,3.0,3.085,0.556,0.714,5.0,4.0,0.0,2.0,0.0,7.0,4.0,43.0,518.84,1.0,1.0,4.0,87.591473,66.0,4.542886,0.508485,486.030291
Briakinumab,transgenic_animal,62.69,9.13,-0.429,42.1,6.07,4.0,2.176,0.667,0.857,7.0,4.0,0.0,2.0,2.0,7.0,4.0,47.0,218.87,6.3,1.0,5.72,85.481463,62.0,4.68575,2.285154,555.999209
Brodalumab,transgenic_animal,59.21,9.02,-0.355,46.3,4.73,2.0,4.916,0.556,0.714,4.0,3.0,0.0,0.0,0.0,10.0,4.0,43.0,252.62,2.0,1.0,4.0,86.010601,60.0,4.687892,2.000604,512.423116
Burosumab,human_b_cell_derived,73.37,7.8,-0.232,37.1,0.9,3.0,1.143,0.667,0.714,3.0,2.0,0.0,0.0,0.0,9.0,4.0,43.0,703.24,1.1,4.0,1.1,82.911837,69.0,4.613143,1.994445,564.990822
Calpurbatug,transgenic_animal,58.57,8.86,-0.368,24.0,3.82,3.0,5.91,0.667,0.714,7.0,6.0,0.0,0.0,2.0,7.0,4.0,51.0,408.65,4.0,1.0,0.6,88.462501,70.0,4.567396,1.175382,746.037777
Calotatug,transgenic_animal,73.7,8.65,-0.244,44.0,3.07,3.0,0.909,0.556,0.571,4.0,4.0,0.0,2.0,1.0,6.0,4.0,45.0,342.87,1.0,1.0,4.62,85.871396,57.0,4.760159,2.887885,537.807576
Camidanlumab,unlabeled,71.88,9.0,-0.264,40.9,4.73,3.0,2.923,0.667,0.714,4.0,4.0,0.0,0.0,0.0,7.0,4.0,42.0,917.85,3.0,1.0,4.0,83.777328,59.0,4.563419,1.248733,573.51801
Camoteskimab,transgenic_animal,66.29,8.6,-0.333,30.3,2.9,3.0,1.176,0.556,0.714,3.0,2.0,0.0,0.0,1.0,8.0,4.0,52.0,249.58,1.0,2.0,4.4,79.715196,78.0,4.677242,1.938398,525.911475
Canakinumab,transgenic_animal,66.37,7.8,-0.324,45.8,0.91,3.0,0.751,0.778,0.857,7.0,4.0,0.0,3.0,2.0,7.0,4.0,45.0,374.04,1.0,2.0,4.0,86.385762,72.0,4.707781,2.348028,466.928033
Canrivitug,phage_display,64.07,6.45,-0.273,40.9,-0.93,4.0,0.999,0.556,0.571,2.0,2.0,0.0,3.0,0.0,6.0,4.0,54.0,561.59,1.2,2.0,0.11,86.120609,68.0,4.675704,1.78984,550.719688
Carlumab,transgenic_animal,70.15,5.72,-0.168,41.9,-2.09,3.0,0.248,0.667,0.571,4.0,4.0,0.0,0.0,1.0,6.0,4.0,48.0,767.83,1.0,4.0,-0.2,79.543916,70.0,4.680052,1.83291,529.212713
Casdozokitug,transgenic_animal,63.38,8.62,-0.331,37.4,2.98,2.0,3.073,0.556,0.714,6.0,6.0,0.0,2.0,3.0,9.0,4.0,59.0,414.12,2.0,3.0,4.1,70.374663,65.0,4.664323,2.105086,549.057017
Cemiplimab,human_b_cell_derived,69.91,7.88,-0.165,32.8,0.89,2.0,0.99,0.667,0.714,2.0,2.0,0.0,2.0,2.0,8.0,4.0,44.0,849.29,1.0,1.0,2.2,87.621708,65.0,4.698345,2.092495,519.644988
Cenvacibart,phage_display,57.37,5.14,-0.233,35.6,-2.27,3.0,3.998,0.556,0.571,1.0,1.0,0.0,3.0,1.0,9.0,4.0,45.0,337.93,1.0,3.0,-4.0,86.985397,68.0,4.74085,2.097355,492.802379
Cepeprubart,transgenic_animal,63.55,9.03,-0.211,39.8,5.08,3.0,0.82,0.556,0.714,3.0,3.0,0.0,3.0,0.0,7.0,4.0,45.0,453.87,1.1,1.0,13.12,78.344035,54.0,4.605012,0.990911,545.920511
Cetrelimab,transgenic_animal,70.94,7.78,-0.229,43.2,0.74,3.0,3.075,0.667,0.571,6.0,5.0,0.0,0.0,0.0,7.0,4.0,50.0,1252.0,1.0,2.0,-9.0,82.623242,74.0,4.554138,1.272602,530.043667
Cifurtilimab,transgenic_animal,66.52,9.18,-0.286,30.4,6.15,3.0,0.098,0.667,0.714,2.0,2.0,0.0,3.0,0.0,8.0,4.0,46.0,369.47,1.0,1.0,12.6,78.72013,61.0,4.619991,1.075515,534.175498
Cilgavimab,human_b_cell_derived,72.17,7.82,-0.34,40.4,0.81,3.0,1.076,0.667,0.714,6.0,6.0,0.0,1.0,3.0,10.0,4.0,63.0,419.88,5.0,2.0,2.0,72.944988,84.0,4.516353,0.442551,519.833201
Cinpanemab,human_b_cell_derived,64.24,4.95,-0.295,46.2,-6.0,4.0,2.374,0.667,0.714,5.0,4.0,0.0,1.0,4.0,9.0,4.0,42.0,252.74,3.0,4.0,8.41,84.531663,50.0,4.618384,2.141605,633.429304
Cixutumumab,transgenic_animal,76.14,7.84,-0.327,43.5,0.98,4.0,3.37,0.667,0.714,4.0,3.0,0.0,0.0,2.0,8.0,4.0,59.0,1302.0,3.0,2.0,0.0,78.761466,71.0,4.611434,0.754595,528.198385
Claseprubart,transgenic_animal,56.56,5.22,-0.39,46.1,-3.1,3.0,4.986,0.556,0.571,1.0,1.0,0.0,2.0,1.0,8.0,4.0,44.0,237.06,2.0,4.0,-6.0,87.302774,73.0,4.735849,2.298692,533.184031
Clesrovimab,transgenic_animal,82.75,8.33,-0.279,44.1,1.81,3.0,2.072,0.667,0.714,5.0,3.0,0.0,2.0,2.0,7.0,4.0,54.0,581.46,3.0,4.0,3.0,80.857947,83.0,4.642971,1.783294,515.906403
Cliramitug,phage_display,58.89,8.87,-0.261,52.6,3.81,4.0,1.908,0.778,0.857,4.0,1.0,0.0,0.0,0.0,8.0,4.0,47.0,965.39,1.1,1.0,8.4,84.046042,63.0,4.766729,2.948963,562.010437
Conatumumab,human_b_cell_derived,72.19,8.63,-0.309,38.7,2.9,3.0,1.09,0.556,0.571,4.0,4.0,0.0,1.0,0.0,7.0,4.0,50.0,367.57,2.0,3.0,8.2,83.590709,81.0,4.71713,2.361118,492.139313
Cosibelimab,phage_display,59.49,5.74,-0.366,47.2,-2.01,4.0,3.904,0.778,0.714,3.0,3.0,0.0,1.0,3.0,8.0,4.0,51.0,1371.17,2.0,2.0,1.8,86.402074,68.0,4.654201,1.28934,545.009751
Crebankitug,transgenic_animal,54.68,5.14,-0.372,48.7,-5.84,4.0,3.897,0.667,0.714,2.0,2.0,0.0,3.0,5.0,9.0,4.0,46.0,408.07,1.0,5.0,-0.0,88.003578,62.0,4.629972,1.062133,528.919569
Crexavibart,phage_display,58.6,6.85,-0.396,37.6,-0.11,4.0,2.002,0.556,0.714,1.0,1.0,0.0,1.0,1.0,8.0,4.0,62.0,238.94,2.0,5.0,1.1,89.964797,75.0,4.719076,1.640894,572.772466
Crotedumab,transgenic_animal,55.52,5.9,-0.354,53.3,-1.1,3.0,6.828,0.556,0.714,2.0,2.0,0.0,3.0,2.0,8.0,4.0,55.0,630.14,1.0,3.0,-7.6,76.202075,59.0,4.713481,2.447527,528.114646
Crovalimab,phage_display,72.05,7.8,-0.276,33.7,0.99,3.0,0.739,0.667,0.714,6.0,5.0,0.0,0.0,0.0,10.0,4.0,53.0,231.36,1.0,2.0,6.3,85.688338,79.0,4.683482,1.783232,632.178952
Cudarolimab,transgenic_animal,69.66,6.91,-0.396,46.7,-0.1,3.0,6.0,0.667,0.857,4.0,2.0,0.0,2.0,2.0,9.0,4.0,50.0,342.06,2.0,2.0,0.0,80.564013,74.0,4.676334,1.136368,520.468745
Dalnicastobart,phage_display,67.63,8.48,-0.305,41.5,2.79,2.0,1.066,0.556,0.714,3.0,2.0,0.0,1.0,1.0,11.0,6.0,53.0,334.76,1.0,2.0,4.0,79.798175,73.0,4.663825,2.440617,565.484547
Danburstotug,unlabeled,70.65,6.91,-0.223,41.2,-0.09,4.0,2.123,0.556,0.714,4.0,3.0,0.0,1.0,2.0,8.0,4.0,50.0,1367.74,2.0,2.0,0.0,82.107025,84.0,4.574756,0.659137,601.30913
Daratumumab,human_b_cell_derived,70.0,7.87,-0.197,44.4,0.81,3.0,1.0,0.667,0.714,7.0,6.0,0.0,3.0,1.0,8.0,4.0,49.0,616.46,2.0,3.0,2.0,84.037685,66.0,4.656388,1.912424,488.452509
Dargistotug,transgenic_animal,70.54,8.3,-0.163,35.2,1.72,3.0,1.998,0.667,0.714,3.0,3.0,0.0,0.0,0.0,7.0,4.0,48.0,388.6,1.0,2.0,0.0,80.419592,75.0,4.606242,0.817062,585.178031
Daxdilimab,phage_display,74.73,8.31,-0.339,40.0,1.81,4.0,1.917,0.667,0.714,2.0,2.0,0.0,2.0,1.0,11.0,4.0,53.0,373.84,1.0,3.0,1.1,84.886428,72.0,4.558515,0.981996,655.977311
Dectrekumab,transgenic_animal,59.75,7.87,-0.205,49.1,0.9,3.0,0.913,0.778,0.857,10.0,7.0,0.0,2.0,2.0,10.0,4.0,49.0,458.98,1.0,3.0,4.0,84.541888,78.0,4.641924,2.036173,528.990094
Demupitamab,transgenic_animal,58.85,5.89,-0.249,31.5,-2.01,3.0,3.908,0.556,0.571,2.0,2.0,0.0,0.0,0.0,7.0,4.0,46.0,468.32,2.0,4.0,0.0,85.590188,67.0,4.65201,1.415466,481.005473
Denosumab,transgenic_animal,74.99,8.89,-0.264,41.5,3.81,3.0,4.003,0.667,0.714,6.0,5.0,0.0,2.0,1.0,8.0,4.0,50.0,435.59,2.0,1.0,4.0,82.748167,66.0,4.660754,1.587182,541.011279
Denrakibart,transgenic_animal,59.72,4.9,-0.266,37.1,-4.19,3.0,0.072,0.556,0.714,6.0,6.0,0.0,0.0,2.0,11.0,4.0,54.0,537.62,1.0,3.0,-0.0,70.652696,76.0,4.674333,2.394916,529.834721
Dibotatug,transgenic_animal,64.56,9.07,-0.223,43.5,5.79,3.0,0.079,0.556,0.714,3.0,2.0,0.0,3.0,1.0,9.0,4.0,47.0,368.7,1.0,2.0,8.0,87.09833,65.0,4.72655,2.143153,504.302947
Diridavumab,human_b_cell_derived,69.54,8.97,-0.289,42.9,4.89,2.0,0.826,0.667,0.571,2.0,2.0,0.0,0.0,0.0,10.0,4.0,53.0,915.19,4.0,2.0,5.0,88.270289,66.0,4.672672,2.301713,628.315712
Drozitumab,transgenic_animal,69.09,5.86,-0.294,35.3,-1.11,4.0,5.285,0.667,0.714,4.0,3.0,0.0,3.0,3.0,8.0,4.0,50.0,553.34,1.0,2.0,-2.0,87.070192,69.0,4.706708,2.369945,541.787651
Dupilumab,transgenic_animal,73.55,7.84,-0.294,43.3,0.81,3.0,3.078,0.556,0.571,2.0,2.0,0.0,2.0,1.0,8.0,4.0,57.0,1647.28,4.0,1.0,4.0,72.903557,67.0,4.703783,2.30958,584.226524
Durvalumab,transgenic_animal,70.8,7.86,-0.334,41.9,0.82,3.0,0.996,0.556,0.714,6.0,6.0,0.0,2.0,2.0,9.0,4.0,49.0,350.7,3.0,3.0,4.0,83.865215,67.0,4.635736,1.878476,505.221286
Dusigitumab,phage_display,59.18,8.3,-0.434,37.7,1.81,3.0,1.908,0.556,0.714,1.0,1.0,1.0,1.0,0.0,11.0,4.0,52.0,309.05,2.0,3.0,2.2,87.984438,67.0,4.684556,1.424242,629.821402
Duvakitug,phage_display,68.72,5.45,-0.287,41.6,-2.18,4.0,1.917,0.556,0.714,3.0,3.0,0.0,1.0,1.0,9.0,4.0,50.0,444.13,1.0,2.0,-0.0,88.881309,70.0,4.66897,1.569951,573.440671
