sequence_id,cdr1_cluster_id,cdr1_proxy_score,cdr2_cluster_id,cdr2_proxy_score
MK321684|IGHV1-58*03|Homo,cdr1_L8_C7,0.7605,cdr2_L8_C8,0.6308
AB019437|IGHV1-68*01|Homo,cdr1_L8_C8,0.7289,cdr2_L8_C9,0.7962
MK540648|IGHV1-68*02|Homo,cdr1_L8_C8,0.7789,cdr2_L8_C9,0.8462
AC279908|IGHV1-68*03|Homo,cdr1_L8_C8,0.7789,cdr2_L8_C9,0.8462
IMGT000175|IGHV1-68*04|Homo,cdr1_L8_C8,0.7789,cdr2_L8_C9,0.7962
BK063799|IGHV1-68D*02|Homo,cdr1_L8_C8,0.7789,cdr2_L8_C9,0.8462
IMGT000177|IGHV1-68D*03|Homo,cdr1_L8_C8,0.7789,cdr2_L8_C9,0.8462
L22582|IGHV1-69*01|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
IMGT000129|IGHV1-69*02|Homo,cdr1_L8_C9,0.9,cdr2_L8_C11,0.8154
X92340|IGHV1-69*03|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
M83132|IGHV1-69*04|Homo,cdr1_L8_C9,0.95,cdr2_L8_C11,0.8154
AC279908|IGHV1-69*05|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
L22583|IGHV1-69*06|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
Z14309|IGHV1-69*08|Homo,cdr1_L8_C9,0.9,cdr2_L8_C10,0.9346
Z14307|IGHV1-69*09|Homo,cdr1_L8_C9,0.95,cdr2_L8_C11,0.8154
Z14300|IGHV1-69*10|Homo,cdr1_L8_C9,0.95,cdr2_L8_C11,0.8154
Z14296|IGHV1-69*11|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9346
MK540648|IGHV1-69*12|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
Z14214|IGHV1-69*13|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
KC713948|IGHV1-69*14|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
MG719326|IGHV1-69*15|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
MG719328|IGHV1-69*16|Homo,cdr1_L8_C9,0.9,cdr2_L8_C10,0.9346
MH359407|IGHV1-69*17|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9346
MK471382|IGHV1-69*18|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
MN337618|IGHV1-69*19|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
OU596106|IGHV1-69*20|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9346
X67902|IGHV1-69*21|Homo,cdr1_L8_C9,0.9,cdr2_L8_C11,0.8154
KF698734|IGHV1-69-2*01|Homo,cdr1_L8_C2,0.7605,cdr2_L8_C3,0.4577
KC713934|IGHV1-69D*01|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
IMGT000177|IGHV1-69D*05|Homo,cdr1_L8_C9,0.95,cdr2_L8_C10,0.9846
M99637|IGHV1-8*01|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C12,0.6308
HM855457|IGHV1-8*02|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C12,0.6308
IMGT000176|IGHV1-8*03|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C12,0.6308
Z29631|IGHV1/OR15-1*01|Homo,cdr1_L8_C10,0.7316,cdr2_L8_C2,0.9692
AJ004954|IGHV1/OR15-1*02|Homo,cdr1_L8_C10,0.7316,cdr2_L8_C2,0.9692
HM855589|IGHV1/OR15-1*03|Homo,cdr1_L8_C10,0.7316,cdr2_L8_C2,0.9692
HM855394|IGHV1/OR15-1*04|Homo,cdr1_L8_C10,0.7316,cdr2_L8_C2,0.9692
L25543|IGHV1/OR15-2*01|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C13,0.6308
HM855297|IGHV1/OR15-2*02|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C13,0.6308
HM855556|IGHV1/OR15-2*03|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C13,0.6308
Z29595|IGHV1/OR15-3*01|Homo,cdr1_L8_C11,0.6684,cdr2_L8_C4,0.9538
HM855458|IGHV1/OR15-3*02|Homo,cdr1_L8_C11,0.6684,cdr2_L8_C4,0.9538
J00238|IGHV1/OR15-3*03|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C4,0.9538
Z29596|IGHV1/OR15-4*01|Homo,cdr1_L8_C12,0.5895,cdr2_L8_C4,0.9538
Z12314|IGHV1/OR15-5*02|Homo,cdr1_L8_C13,0.5895,cdr2_L8_C14,0.6308
L25542|IGHV1/OR15-9*01|Homo,cdr1_L8_C1,0.9184,cdr2_L8_C14,0.6308
AF254982|IGHV1/OR21-1*01|Homo,cdr1_L8_C14,0.5895,cdr2_L8_C14,0.6308
M99647|IGHV2-10*01|Homo,cdr1_L10_C39,0.96,cdr2_L6_C40,0.85
BK068299|IGHV2-10*02|Homo,cdr1_L10_C39,0.96,cdr2_L6_C40,0.85
M99648|IGHV2-26*01|Homo,cdr1_L10_C40,0.64,cdr2_L7_C44,0.7375
MG719335|IGHV2-26*02|Homo,cdr1_L10_C40,0.64,cdr2_L7_C44,0.7375
MG719336|IGHV2-26*03|Homo,cdr1_L10_C40,0.64,cdr2_L7_C44,0.7375
AC280062|IGHV2-26*04|Homo,cdr1_L10_C40,0.64,cdr2_L7_C44,0.7375
IMGT000129|IGHV2-26*05|Homo,cdr1_L10_C40,0.64,cdr2_L7_C44,0.7375
X62111|IGHV2-5*01|Homo,cdr1_L10_C39,0.92,cdr2_L7_C45,0.7929
KF698731|IGHV2-5*02|Homo,cdr1_L10_C39,0.92,cdr2_L7_C45,0.85
L21963|IGHV2-5*04|Homo,cdr1_L10_C39,0.92,cdr2_L7_C45,0.7929
L21964|IGHV2-5*05|Homo,cdr1_L10_C39,0.92,cdr2_L7_C45,0.85
L21966|IGHV2-5*06|Homo,cdr1_L10_C39,0.92,cdr2_L7_C45,0.85
L21971|IGHV2-5*08|Homo,cdr1_L10_C39,0.96,cdr2_L7_C45,0.85
L21972|IGHV2-5*09|Homo,cdr1_L10_C39,0.92,cdr2_L7_C45,0.85
X69690|IGHV2-5*11|Homo,cdr1_L10_C39,0.92,cdr2_L7_C45,0.85
BK063799|IGHV2-70*01|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
X92241|IGHV2-70*02|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
X92238|IGHV2-70*03|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
MG719337|IGHV2-70*04|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
IMGT000129|IGHV2-70*05|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
X92239|IGHV2-70*06|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
X92243|IGHV2-70*07|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
X92245|IGHV2-70*08|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
L21962|IGHV2-70*09|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
L21965|IGHV2-70*10|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
L21967|IGHV2-70*11|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
L21970|IGHV2-70*12|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
AB019437|IGHV2-70*13|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
MG719338|IGHV2-70*15|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
MG719340|IGHV2-70*16|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
MG719342|IGHV2-70*17|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
MK540648|IGHV2-70*18|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
MK540649|IGHV2-70*19|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
AC279908|IGHV2-70*20|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
IMGT000175|IGHV2-70*21|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
IMGT000208|IGHV2-70*23|Homo,cdr1_L10_C39,1.0,cdr2_L7_C46,0.9625
KC713935|IGHV2-70D*04|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
KC713949|IGHV2-70D*14|Homo,cdr1_L10_C39,0.96,cdr2_L7_C46,0.9625
IMGT000177|IGHV2-70D*23|Homo,cdr1_L10_C39,0.96,cdr2_L7_C47,0.475
IMGT000069|IGHV2/OR16-23*01|Homo,cdr1_L10_C39,0.96,cdr2_L6_C41,0.55
L25544|IGHV2/OR16-5*01|Homo,cdr1_L10_C39,0.96,cdr2_L7_C48,0.475
M99652|IGHV3-11*01|Homo,cdr1_L8_C15,0.9526,cdr2_L8_C15,0.8769
X92287|IGHV3-11*03|Homo,cdr1_L8_C15,0.9526,cdr2_L8_C16,0.9038
IMGT000176|IGHV3-11*04|Homo,cdr1_L8_C15,0.9526,cdr2_L8_C15,0.8769
BK063801|IGHV3-11*05|Homo,cdr1_L8_C15,0.9526,cdr2_L8_C16,0.9038
KC713940|IGHV3-11*06|Homo,cdr1_L8_C15,0.9526,cdr2_L8_C16,0.9038
X92217|IGHV3-13*01|Homo,cdr1_L8_C16,0.9342,cdr2_L7_C49,0.85
M99653|IGHV3-13*02|Homo,cdr1_L8_C16,0.8842,cdr2_L7_C49,0.7929
IMGT000176|IGHV3-13*03|Homo,cdr1_L8_C16,0.9342,cdr2_L7_C49,0.85
BK063801|IGHV3-13*04|Homo,cdr1_L8_C16,0.9342,cdr2_L7_C49,0.85
KC713939|IGHV3-13*05|Homo,cdr1_L8_C16,0.9342,cdr2_L7_C49,0.7929
JADDCI010010883|IGHV3-13*06|Homo,cdr1_L8_C16,0.9342,cdr2_L7_C49,0.85
X92216|IGHV3-15*01|Homo,cdr1_L8_C17,0.8421,cdr2_L10_C60,1.0
M99654|IGHV3-15*02|Homo,cdr1_L8_C17,0.8421,cdr2_L10_C60,1.0
M99408|IGHV3-15*03|Homo,cdr1_L8_C17,0.7921,cdr2_L10_C60,0.92
M99402|IGHV3-15*04|Homo,cdr1_L8_C17,0.8421,cdr2_L10_C60,0.96
M99403|IGHV3-15*05|Homo,cdr1_L8_C17,0.8421,cdr2_L10_C60,1.0
M99404|IGHV3-15*06|Homo,cdr1_L8_C17,0.8421,cdr2_L10_C60,1.0
M99406|IGHV3-15*07|Homo,cdr1_L8_C17,0.8421,cdr2_L10_C60,1.0
M99400|IGHV3-15*08|Homo,cdr1_L8_C17,0.7921,cdr2_L10_C60,0.92
IMGT000112|IGHV3-15*09|Homo,cdr1_L8_C17,0.8421,cdr2_L10_C60,1.0
M99655|IGHV3-16*01|Homo,cdr1_L8_C18,0.8895,cdr2_L8_C17,0.9077
AB019440|IGHV3-16*02|Homo,cdr1_L8_C18,0.8895,cdr2_L8_C17,0.9077
BK063801|IGHV3-16*03|Homo,cdr1_L8_C18,0.8895,cdr2_L8_C17,0.9077
IMGT000176|IGHV3-16*04|Homo,cdr1_L8_C18,0.8895,cdr2_L8_C17,0.9077
M99656|IGHV3-19*01|Homo,cdr1_L8_C18,0.8895,cdr2_L8_C17,0.9077
IMGT000111|IGHV3-19*02|Homo,cdr1_L8_C18,0.8895,cdr2_L8_C17,0.9077
M99657|IGHV3-20*01|Homo,cdr1_L8_C19,0.8553,cdr2_L8_C18,0.7385
KC713937|IGHV3-20*02|Homo,cdr1_L8_C19,0.8553,cdr2_L8_C18,0.7385
MH332884|IGHV3-20*03|Homo,cdr1_L8_C19,0.8553,cdr2_L8_C18,0.7385
MK540646|IGHV3-20*04|Homo,cdr1_L8_C19,0.8553,cdr2_L8_C18,0.7385
AB019439|IGHV3-21*01|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C16,0.9538
M99658|IGHV3-21*02|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C16,0.9538
MK540646|IGHV3-21*03|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C16,0.9538
HM855688|IGHV3-21*04|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C16,0.9538
MK308859|IGHV3-21*05|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C16,0.9538
MN337623|IGHV3-21*06|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C16,0.9538
OU596107|IGHV3-21*07|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C15,0.8769
KY110714|IGHV3-21*08|Homo,cdr1_L8_C16,0.9342,cdr2_L7_C50,0.5304
M99659|IGHV3-22*01|Homo,cdr1_L8_C15,0.9026,cdr2_L9_C64,1.0
AB019439|IGHV3-22*02|Homo,cdr1_L8_C15,0.9026,cdr2_L9_C64,1.0
M99660|IGHV3-23*01|Homo,cdr1_L8_C9,1.0,cdr2_L8_C19,0.8154
M35415|IGHV3-23*02|Homo,cdr1_L8_C9,1.0,cdr2_L8_C19,0.8154
AM940223|IGHV3-23*03|Homo,cdr1_L8_C9,1.0,cdr2_L8_C20,0.6308
AC245166|IGHV3-23*04|Homo,cdr1_L8_C9,1.0,cdr2_L8_C19,0.8154
AY757302|IGHV3-23*05|Homo,cdr1_L8_C9,1.0,cdr2_L8_C20,0.5808
AC244492|IGHV3-23D*01|Homo,cdr1_L8_C9,1.0,cdr2_L8_C19,0.8154
M99661|IGHV3-25*01|Homo,cdr1_L8_C20,0.7632,cdr2_L7_C51,0.5125
AB019439|IGHV3-25*02|Homo,cdr1_L8_C20,0.7632,cdr2_L7_C51,0.5125
AC245166|IGHV3-25*03|Homo,cdr1_L8_C20,0.7632,cdr2_L8_C21,0.6308
HM855898|IGHV3-25*04|Homo,cdr1_L8_C20,0.7632,cdr2_L8_C21,0.6308
AC280062|IGHV3-25*05|Homo,cdr1_L8_C20,0.7632,cdr2_L8_C21,0.6308
AB019439|IGHV3-29*01|Homo,cdr1_L7_C44,0.7,cdr2_L7_C52,0.775
BK063800|IGHV3-29*02|Homo,cdr1_L7_C44,0.7,cdr2_L7_C52,0.775
M83134|IGHV3-30*01|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
L26401|IGHV3-30*02|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,0.95
M99663|IGHV3-30*03|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
L06615|IGHV3-30*04|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M77323|IGHV3-30*05|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
L06617|IGHV3-30*06|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
L06614|IGHV3-30*07|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M62737|IGHV3-30*08|Homo,cdr1_L8_C21,0.5895,cdr2_L8_C22,1.0
M77300|IGHV3-30*09|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M77326|IGHV3-30*10|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M77331|IGHV3-30*11|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M77338|IGHV3-30*12|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
M77339|IGHV3-30*13|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
M77324|IGHV3-30*14|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M77327|IGHV3-30*15|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M77328|IGHV3-30*16|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M77329|IGHV3-30*17|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
X92214|IGHV3-30*18|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
L06616|IGHV3-30*19|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
OU596105|IGHV3-30*20|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
AB019439|IGHV3-30-2*01|Homo,cdr1_L7_C45,1.0,cdr2_L8_C23,0.8462
IMGT000173|IGHV3-30-2*03|Homo,cdr1_L7_C45,1.0,cdr2_L8_C23,0.8462
KC162924|IGHV3-30-22*01|Homo,cdr1_L7_C44,0.7,cdr2_L7_C52,0.775
AC244456|IGHV3-30-3*01|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
M77302|IGHV3-30-3*02|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
KC713945|IGHV3-30-3*03|Homo,cdr1_L8_C9,1.0,cdr2_L8_C22,1.0
AC244456|IGHV3-30-33*01|Homo,cdr1_L7_C45,1.0,cdr2_L8_C23,0.8462
IMGT000177|IGHV3-30-33*02|Homo,cdr1_L7_C45,1.0,cdr2_L8_C23,0.8462
AC244456|IGHV3-30-42*01|Homo,cdr1_L7_C44,0.7,cdr2_L7_C52,0.775
IMGT000158|IGHV3-30-42*03|Homo,cdr1_L7_C44,0.6429,cdr2_L7_C52,0.7179
AC244456|IGHV3-30-5*01|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
AC245243|IGHV3-30-5*02|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,0.95
AC244456|IGHV3-30-52*01|Homo,cdr1_L7_C45,1.0,cdr2_L8_C23,0.8462
AB019439|IGHV3-32*01|Homo,cdr1_L7_C44,0.7,cdr2_L7_C52,0.775
IMGT000177|IGHV3-32*02|Homo,cdr1_L7_C44,0.7,cdr2_L7_C52,0.775
AB019439|IGHV3-33*01|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,0.95
M99665|IGHV3-33*02|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,0.95
M77305|IGHV3-33*03|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,0.95
M77335|IGHV3-33*04|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,0.95
M77334|IGHV3-33*05|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,1.0
HM855436|IGHV3-33*06|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,0.95
IMGT000056|IGHV3-33*07|Homo,cdr1_L8_C22,0.5895,cdr2_L8_C22,0.95
AC279998|IGHV3-33*08|Homo,cdr1_L8_C16,0.9842,cdr2_L8_C22,0.95
AB019439|IGHV3-33-2*01|Homo,cdr1_L7_C45,1.0,cdr2_L8_C23,0.8462
M99666|IGHV3-35*01|Homo,cdr1_L8_C18,0.8895,cdr2_L8_C17,0.9077
AC280057|IGHV3-35*02|Homo,cdr1_L8_C18,0.8895,cdr2_L8_C17,0.9077
M99669|IGHV3-38*01|Homo,cdr1_L8_C23,0.8868,cdr2_L6_C42,1.0
AB019439|IGHV3-38*02|Homo,cdr1_L8_C23,0.8868,cdr2_L6_C42,1.0
KC713943|IGHV3-38*03|Homo,cdr1_L8_C23,0.8868,cdr2_L6_C42,1.0
KF698732|IGHV3-38-3*01|Homo,cdr1_L8_C23,0.8868,cdr2_L6_C42,1.0
IMGT000111|IGHV3-38-3*02|Homo,cdr1_L8_C23,0.8868,cdr2_L6_C42,1.0
BK063799|IGHV3-41*02|Homo,cdr1_L8_C24,0.5895,cdr2_L8_C24,0.4615
M99672|IGHV3-43*01|Homo,cdr1_L8_C19,0.8553,cdr2_L8_C25,0.8154
BK068299|IGHV3-43*02|Homo,cdr1_L8_C19,0.9053,cdr2_L8_C19,0.7654
KC713950|IGHV3-43D*03|Homo,cdr1_L8_C19,0.9053,cdr2_L8_C25,0.8154
AC242184|IGHV3-43D*04|Homo,cdr1_L8_C19,0.9053,cdr2_L8_C25,0.8154
QEHY01024525|IGHV3-43D*05|Homo,cdr1_L8_C19,0.9053,cdr2_L8_C25,0.8154
IMGT000177|IGHV3-43D*06|Homo,cdr1_L8_C19,0.9053,cdr2_L8_C25,0.8154
BK063799|IGHV3-47*01|Homo,cdr1_L8_C25,0.6684,cdr2_L7_C49,0.7929
AB019438|IGHV3-47*02|Homo,cdr1_L8_C25,0.6184,cdr2_L7_C49,0.7929
M99675|IGHV3-48*01|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C15,0.8269
AB019438|IGHV3-48*02|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C15,0.8269
BK063799|IGHV3-48*03|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C15,0.8769
HM855336|IGHV3-48*04|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C15,0.8269
M99676|IGHV3-49*01|Homo,cdr1_L8_C26,0.7316,cdr2_L10_C61,0.85
M99401|IGHV3-49*02|Homo,cdr1_L8_C27,0.5895,cdr2_L10_C61,0.85
AB019438|IGHV3-49*03|Homo,cdr1_L8_C26,0.7316,cdr2_L10_C61,0.85
BK063799|IGHV3-49*04|Homo,cdr1_L8_C26,0.7316,cdr2_L10_C61,0.85
BK063801|IGHV3-49*05|Homo,cdr1_L8_C26,0.7316,cdr2_L10_C61,0.85
M99678|IGHV3-52*01|Homo,cdr1_L8_C28,0.6842,cdr2_L8_C26,0.8577
AC279961|IGHV3-52*02|Homo,cdr1_L8_C28,0.6842,cdr2_L8_C26,0.8577
J00237|IGHV3-52*03|Homo,cdr1_L8_C28,0.6842,cdr2_L8_C26,0.8577
M99679|IGHV3-53*01|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
KF698735|IGHV3-53*02|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
J03617|IGHV3-53*03|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
IMGT000158|IGHV3-53*04|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
MK308860|IGHV3-53*05|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
IMGT000112|IGHV3-53*06|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
M99680|IGHV3-54*01|Homo,cdr1_L7_C45,1.0,cdr2_L5_C66,1.0
X92215|IGHV3-54*02|Homo,cdr1_L7_C45,1.0,cdr2_L6_C43,0.85
AB019438|IGHV3-54*04|Homo,cdr1_L7_C45,1.0,cdr2_L5_C66,1.0
IMGT000177|IGHV3-54*07|Homo,cdr1_L7_C45,1.0,cdr2_L6_C43,0.85
M29813|IGHV3-60*06|Homo,cdr1_L8_C7,0.8105,cdr2_L8_C27,0.7385
AB019437|IGHV3-62*01|Homo,cdr1_L8_C7,0.8105,cdr2_L8_C27,0.7385
BK063799|IGHV3-62*03|Homo,cdr1_L8_C7,0.8105,cdr2_L8_C27,0.7385
MK540647|IGHV3-62*04|Homo,cdr1_L8_C7,0.8105,cdr2_L8_C27,0.7385
M99681|IGHV3-63*01|Homo,cdr1_L7_C45,0.9429,cdr2_L8_C28,0.6308
IMGT000058|IGHV3-63*02|Homo,cdr1_L7_C45,0.9429,cdr2_L8_C28,0.6308
BK068299|IGHV3-63*03|Homo,cdr1_L7_C45,0.9429,cdr2_L8_C28,0.6308
M99682|IGHV3-64*01|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
AB019437|IGHV3-64*02|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
M77298|IGHV3-64*03|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
M77299|IGHV3-64*04|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
M77301|IGHV3-64*05|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
MK540647|IGHV3-64*07|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
KC713941|IGHV3-64D*06|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
MN337624|IGHV3-64D*08|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
MN337625|IGHV3-64D*09|Homo,cdr1_L8_C9,1.0,cdr2_L8_C29,0.9538
X92218|IGHV3-66*01|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
IMGT000158|IGHV3-66*02|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
AB019437|IGHV3-66*03|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8304
X70208|IGHV3-66*04|Homo,cdr1_L8_C23,0.9368,cdr2_L7_C53,0.8875
AJ879484|IGHV3-69-1*01|Homo,cdr1_L8_C15,0.9526,cdr2_L7_C50,0.5875
AJ879485|IGHV3-69-1*02|Homo,cdr1_L8_C15,0.9526,cdr2_L7_C50,0.5875
M99649|IGHV3-7*01|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C26,0.9077
X92288|IGHV3-7*02|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C26,0.9077
HM855666|IGHV3-7*03|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C26,0.9077
MN337620|IGHV3-7*04|Homo,cdr1_L8_C16,0.9342,cdr2_L8_C26,0.9077
