canonical_id,display_name,origin_tags,in_clinical_39,in_master_table_40,in_anarci_38,in_vhh42_cmc,in_vhh42_germline,in_database_b_29,in_structural_union_69,canonical_sequence_hash,sequence_consistent_across_sources,anomalies,vhh42_cmc_origin,germline_top_match,ada_majority_risk,structural_pdb_model,cohort_platform_tag
1kxt_f,1kxt_F,database_b_humanized_camelid,False,False,False,False,False,True,True,a18d79eb2c16,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxt_F\rank0_unrefined.pdb,
1kxv_c,1kxv_C,database_b_humanized_camelid,False,False,False,False,False,True,True,4eee5b3a8525,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxv_C\rank0_unrefined.pdb,
1kxv_d,1kxv_D,database_b_humanized_camelid,False,False,False,False,False,True,True,14ef5a69e480,True,,,,,data\vhh_database_b_union\immunebuilder_models\1kxv_D\rank0_unrefined.pdb,
1mel_a,1mel_A,database_b_humanized_camelid,False,False,False,False,False,True,True,3b2872af0f91,True,,,,,data\vhh_database_b_union\immunebuilder_models\1mel_A\rank0_unrefined.pdb,
1mel_b,1mel_B,database_b_humanized_camelid,False,False,False,False,False,True,True,3b2872af0f91,True,,,,,data\vhh_database_b_union\immunebuilder_models\1mel_B\rank0_unrefined.pdb,
1op9_a,1op9_A,database_b_humanized_camelid,False,False,False,False,False,True,True,7c48e2d21a07,True,,,,,data\vhh_database_b_union\immunebuilder_models\1op9_A\rank0_unrefined.pdb,
1xfp_a,1xfp_A,database_b_humanized_camelid,False,False,False,False,False,True,True,5592bb81de6b,True,,,,,data\vhh_database_b_union\immunebuilder_models\1xfp_A\rank0_unrefined.pdb,
1yc7_a,1yc7_A,database_b_humanized_camelid,False,False,False,False,False,True,True,0108e101e5d3,True,,,,,data\vhh_database_b_union\immunebuilder_models\1yc7_A\rank0_unrefined.pdb,
1yc7_b,1yc7_B,database_b_humanized_camelid,False,False,False,False,False,True,True,dafae62bd3d2,True,,,,,data\vhh_database_b_union\immunebuilder_models\1yc7_B\rank0_unrefined.pdb,
1yc8_a,1yc8_A,database_b_humanized_camelid,False,False,False,False,False,True,True,c4287bcff16b,True,,,,,data\vhh_database_b_union\immunebuilder_models\1yc8_A\rank0_unrefined.pdb,
erfonrilimab_vhh2,Erfonrilimab-VHH2,,False,False,False,False,False,False,True,3c6121cedc8e,True,,,,,data/vhh_clinical_39_union/immunebuilder_models/Erfonrilimab-VHH2/rank0_unrefined.pdb,
