canonical_id,display_name,origin_tags,in_natural_master_384,in_natural_cmc_384,in_engineered_master_458,in_abref458_27m_458,in_842_combined,in_frozen_abref458,in_frozen_natural384,vh_seq_hash,vl_seq_hash,vh_seq_consistent,vl_seq_consistent,anomalies,vh_germline,vl_germline
afasevikumab,Afasevikumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,217b355663b1,aabd7d080ef9,True,True,,IGHV3-9*01,IGKV3-11*01
afimkibart,Afimkibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,4ec56aa29a35,663a6125e38f,True,True,,IGHV1-18*01,IGKV3-11*01
alcestobart,Alcestobart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,ca45af6df710,3d71a37dd95f,True,True,,IGHV3-20*04,IGKV1-39*01
aldastotug,Aldastotug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,152c8d83e8bb,f5577a6ba5ee,True,True,,IGHV5-10-1*01,IGKV3-20*01
alextatug,Alextatug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,ed10c0190692,53fb9b47e533,True,True,,IGHV3-15*02,IGKV3D-20*01
alirocumab,Alirocumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,a7566a09d693,1b873674aa21,True,True,,IGHV3-23*04,IGKV4-1*01
alomfilimab,Alomfilimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,237ab45b6e13,d1e10f2bc957,True,True,,IGHV3-20*04,IGKV3-20*01
alsevalimab,Alsevalimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,946663c970dd,fda76e5386e2,True,True,,IGHV4-39*01,IGKV3-15*01
amlenetug,Amlenetug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,1c2be0e4330c,6c60ae1d63f4,True,True,,IGHV3-23*05,IGKV3-20*01
amlitelimab,Amlitelimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,a586be7a9f59,6303b761ffd1,True,True,,IGHV3-23*04,IGKV1-39*01
amrecibart,Amrecibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,bd82d7fa0873,b9a5f583afc0,True,True,,IGHV3-23*03,IGKV1-39*01
amubarvimab,Amubarvimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,a29fd296b738,6c288ee54bcf,True,True,,IGHV3-66*01,IGKV3-20*01
anetumab,Anetumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,f65db8e04c8e,eff7ba03814a,True,True,,IGHV5-51*01,IGKV2/OR22-4*01
anifrolumab,Anifrolumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,e3365dd75f4d,a890351ad5e6,True,True,,IGHV5-51*01,IGKV3-20*01
ansipastobart,Ansipastobart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,6ad6bf8869ab,da761c5aac23,True,True,,IGHV3-23*01,IGKV3D-20*01
ansuvimab,Ansuvimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b9e3ea7d5d80,021465bad5c4,True,True,,IGHV3-13*01,IGKV1-27*01
anumigilimab,Anumigilimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,5888b9c7dbe4,885a1aa9efb6,True,True,,IGHV3-23*01,IGKV1-39*01
anzurstobart,Anzurstobart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,647b2de73fe6,5ba06e4fed62,True,True,,IGHV1-18*01,IGKV1-12*01
apitegromab,Apitegromab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,ae161f513b2e,246aff290ddb,True,True,,IGHV3-30*03,IGKV3D-20*01
aprutumab,Aprutumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,3395744c841a,43e9d7fef70f,True,True,,IGHV3-23*01,IGKV3D-20*01
ascrinvacumab,Ascrinvacumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,2291cbaf8270,177df674ea60,True,True,,IGHV4-31*02,IGKV3-20*01
astegolimab,Astegolimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,60893502fbe3,e75d6dfa08a7,True,True,,IGHV5-51*01,IGKV1-33*01
atenastobart,Atenastobart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,7b752f1b7bc2,0ae663076f98,True,True,,IGHV3-21*01,IGKV6-21*01
atidortoxumab,Atidortoxumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,4a65f4d617f5,9a5ba5b01a21,True,True,,IGHV4-38-2*01,IGKV1-12*01
atigotatug,Atigotatug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b7a1d60360d8,a97dc4b00d5a,True,True,,IGHV3-48*02,IGKV1D-16*01
atinumab,Atinumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,d1ad9da75fe3,c5e5aec470a5,True,True,,IGHV3-7*01,IGKV3-11*01
atisnolerbart,Atisnolerbart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,639ed315a051,6c60ae1d63f4,True,True,,IGHV1-8*01,IGKV3-20*01
atoltivimab,Atoltivimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,20da04842283,1f86ae52f585,True,True,,IGHV3-33*01,IGKV1-39*01
avdoralimab,Avdoralimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,89ee9c267a48,425df24f237b,True,True,,IGHV3-13*01,IGKV3-20*01
avelumab,Avelumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,2e6397b87738,f35cc401e179,True,True,,IGHV3-23*01,IGKV6-21*01
balonkibart,Balonkibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,2f15c9a89231,7571275e1364,True,True,,IGHV3-23*04,IGKV1-6*01
balstilimab,Balstilimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b56213cfce6e,221ca2b92482,True,True,,IGHV3-33*01,IGKV3-15*01
bamlanivimab,Bamlanivimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,9865949026c8,cf9227daafb6,True,True,,IGHV1-69*04,IGKV1-39*01
bapotulimab,Bapotulimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,a37ed7d5fa13,99f2a0db1a3b,True,True,,IGHV1-69*10,IGKV2-28*01
barecetamab,Barecetamab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b168e3300d99,ad01d1ec5bda,True,True,,IGHV3-23*01,IGKV3D-20*01
batoclimab,Batoclimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,d58ff5fa683c,c108d7ab63f1,True,True,,IGHV4-39*02,IGKV1-13*01
bebtelovimab,Bebtelovimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,0cf9252416eb,8d8a9154fdc9,True,True,,IGHV2-5*02,IGKV2-40*01
befovacimab,Befovacimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,aa7f93cbf0fd,b819d21e9f2e,True,True,,IGHV3-23*04,IGKV1-13*01
belimumab,Belimumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,591b02ff8838,72efc8402594,True,True,,IGHV1-69*01,IGKV1-13*01
belrestotug,Belrestotug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,d092e2acd005,490b76c1c3bd,True,True,,IGHV1-46*01,IGKV3-20*01
beludavimab,Beludavimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,6ecfce2c1a45,a7f7fc72fac8,True,True,,IGHV1-18*01,IGKV3-20*02
bempikibart,Bempikibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,2a4593866679,7e5c78887d75,True,True,,IGHV3-9*01,IGKV1-13*02
bentracimab,Bentracimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,8d7350cff9c0,fdc215cd7711,True,True,,IGHV1-69*06,IGKV3D-20*01
berlimatoxumab,Berlimatoxumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,cbac0250e3e4,c3d733337a94,True,True,,IGHV4-39*01,IGKV1-39*01
bermekimab,Bermekimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,38d61796bb51,e3c16fdf78b5,True,True,,IGHV3-30*03,IGKV1-12*01
bersanlimab,Bersanlimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,bb6ba4e0c811,c73afdf3bba4,True,True,,IGHV3-30*02,IGKV2/OR22-4*01
bezetabart,Bezetabart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,5346a9ed19ba,74d0f2b6c0b0,True,True,,IGHV3-33*01,IGKV1-12*01
bezlotoxumab,Bezlotoxumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,11bb89e34a6a,d97961aefb60,True,True,,IGHV5-51*01,IGKV3-20*01
bimagrumab,Bimagrumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,bf7a1f953cb8,33963846c045,True,True,,IGHV1-2*02,IGKV1-37*01
birinkibart,Birinkibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,0c47b39b834b,3291f0b234ed,True,True,,IGHV1-24*01,IGKV3-11*01
bleselumab,Bleselumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,9550b8beb336,4ba36f8db128,True,True,,IGHV4-39*03,IGKV1-13*02
botensilimab,Botensilimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,9251d1fdda96,c77b536efcda,True,True,,IGHV3-21*01,IGKV3-11*01
brazikumab,Brazikumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,090fd236ada4,762c7325035e,True,True,,IGHV3-33*01,IGKV2/OR22-4*01
bremzalerbart,Bremzalerbart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,49e2a975c143,d6abb16b7fe9,True,True,,IGHV4-59*03,IGKV3-11*01
briakinumab,Briakinumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,95d7b6bd2f32,8c8e069c62c5,True,True,,IGHV3-30*02,IGKV3D-20*01
brodalumab,Brodalumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,6e7cf542af58,d7f6012a6d0b,True,True,,IGHV1-18*01,IGKV3-15*01
burosumab,Burosumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,5c27a7e8def7,52ad59aa6d18,True,True,,IGHV1-46*01,IGKV1-13*02
calpurbatug,Calpurbatug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,7e7c21add35e,1bd8f5a5666a,True,True,,IGHV4-30-2*07,IGKV3-20*01
calotatug,Calotatug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,336584c41d68,d5e4cdb91413,True,True,,IGHV3-48*01,IGKV3-20*01
camidanlumab,Camidanlumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,c78fa22553d5,d5306f818a4a,True,True,,IGHV1-69*02,IGKV3-11*01
camoteskimab,Camoteskimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,59dd697945d5,ac00fe637b8b,True,True,,IGHV4-30-2*07,IGKV1-5*03
canakinumab,Canakinumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,172ca03afc74,158acb8f7dea,True,True,,IGHV3-33*01,IGKV6-21*01
canrivitug,Canrivitug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,efe0ba412061,60fa5bcf9d17,True,True,,IGHV4-59*11,IGKV2/OR22-4*01
carlumab,Carlumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,d25a959e7be0,2cd2b0eedb49,True,True,,IGHV1-69*01,IGKV3-20*02
casdozokitug,Casdozokitug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,c9b604c6e682,5a18629b63dc,True,True,,IGHV3-21*01,IGKV4-1*01
cemiplimab,Cemiplimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,2a9413d0c696,13e02c0fd817,True,True,,IGHV3-23*01,IGKV1-39*01
cenvacibart,Cenvacibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b151e9b67cf2,b5efb36ee609,True,True,,IGHV3-11*01,IGKV1-33*01
cepeprubart,Cepeprubart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,37ea38bc87d1,a8130ef41dbd,True,True,,IGHV3-30*03,IGKV2-18*01
cetrelimab,Cetrelimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,564e1c6e957d,0ab0fdac715c,True,True,,IGHV1-69*01,IGKV3-11*01
cifurtilimab,Cifurtilimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,1b288f7bfe33,a79cc9303496,True,True,,IGHV3-74*01,IGKV2-30*02
cilgavimab,Cilgavimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,073011989d38,6d3bf809ac61,True,True,,IGHV3-15*01,IGKV4-1*01
cinpanemab,Cinpanemab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,6cbe74aea9c8,750231341ae2,True,True,,IGHV3-15*01,IGKV1-13*01
cixutumumab,Cixutumumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,4b24ed740cdd,7d612cdc162c,True,True,,IGHV1-69*06,IGKV1-13*01
claseprubart,Claseprubart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,5c9b918b03c2,b4f69d05adf4,True,True,,IGHV3-11*01,IGKV1-33*01
clesrovimab,Clesrovimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,3b61153f6f26,2ecbb130d453,True,True,,IGHV3-49*04,IGKV1-13*02
cliramitug,Cliramitug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,e7bc486b9310,fcb8c8af5d12,True,True,,IGHV4-39*01,IGKV1-39*01
conatumumab,Conatumumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,473e3f1d9c65,13912c7636bd,True,True,,IGHV4-30-2*07,IGKV3-20*01
cosibelimab,Cosibelimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,805ce61bec72,3566e43c40cf,True,True,,IGHV1-69*01,IGKV3D-20*02
crebankitug,Crebankitug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b8a26ce01740,8efedddf9f65,True,True,,IGHV3-43D*03,IGKV3D-20*02
crexavibart,Crexavibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,a244ca1c0011,f35cc401e179,True,True,,IGHV3-53*01,IGKV6-21*01
crotedumab,Crotedumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,57d8cef63194,b3b4fb08417b,True,True,,IGHV3-7*01,IGKV1-17*01
crovalimab,Crovalimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,28c46c30c7d0,40805e3ae262,True,True,,IGHV2-70*01,IGKV1-12*01
cudarolimab,Cudarolimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,7f847f11871d,55cfdb6063ad,True,True,,IGHV3-30*03,IGKV1-33*01
dalnicastobart,Dalnicastobart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,d6a3d56a03d8,dd6b9fb96f79,True,True,,IGHV1-2*02,IGKV1-12*01
danburstotug,Danburstotug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,2f0d7af3f5a2,ba7159d131b5,True,True,,IGHV1-69*01,IGKV1-13*01
daratumumab,Daratumumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,4a3ade949ca3,b74ca0158db1,True,True,,IGHV3-23*01,IGKV3-11*01
dargistotug,Dargistotug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,8f754044b324,03f0d2940841,True,True,,IGHV7-4-1*02,IGKV1-9*01
daxdilimab,Daxdilimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,c02537fb86e2,b210e67cd912,True,True,,IGHV1-18*01,IGKV6-21*01
dectrekumab,Dectrekumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,7d35387077c7,a545e813a95a,True,True,,IGHV3-33*01,IGKV3-11*01
demupitamab,Demupitamab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,1e847c22d2eb,7e77cad07ffa,True,True,,IGHV4-61*01,IGKV1-33*01
denosumab,Denosumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,49f3c654880d,d6a6ca093595,True,True,,IGHV3-23*01,IGKV3-20*01
denrakibart,Denrakibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,01e09b1f1f91,357c7efdaaa8,True,True,,IGHV5-51*01,IGKV4-1*01
dibotatug,Dibotatug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,5948cc0a828f,57099dde25cd,True,True,,IGHV3-21*01,IGKV1D-16*01
diridavumab,Diridavumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,d22688558132,7adb0d25b15f,True,True,,IGHV1-69*01,IGKV3D-20*01
drozitumab,Drozitumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,19066c997dd3,4ab2535cad65,True,True,,IGHV3-20*04,IGKV1/OR2-11*01
dupilumab,Dupilumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b131227969a4,92ee72d0a422,True,True,,IGHV3-23*04,IGKV2-28*01
durvalumab,Durvalumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,080202d51adf,b9bea91b747f,True,True,,IGHV3-7*01,IGKV3-20*01
dusigitumab,Dusigitumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,879fc3a3ee36,6c19597ad66e,True,True,,IGHV1-8*01,IGKV3D-20*01
duvakitug,Duvakitug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,d0ef3e19efba,17c01937c650,True,True,,IGHV1-8*01,IGKV2/OR22-4*01
eblasakimab,Eblasakimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,44eb3f02fb33,5d5f2c6d1746,True,True,,IGHV5-51*01,IGKV3-20*02
ebrasodebart,Ebrasodebart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,a61fd68dfd44,1d4109a34384,True,True,,IGHV1-18*01,IGKV1-13*01
ebronucimab,Ebronucimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,801815631ed1,499972b39650,True,True,,IGHV3-21*01,IGKV2/OR22-4*01
ecleralimab,Ecleralimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,42b007cb203b,f345325f2431,True,True,,IGHV3-15*01,IGKV1-13*01
efalizumab,Efalizumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,0a04ce48c01c,1209f169ef44,True,True,,IGHV3-23*04,IGKV1-9*03
efungumab,Efungumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,09a17603fc02,590e544d53bb,True,True,,IGHV5-10-1*01,IGKV1-9*01
eldelumab,Eldelumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,4d201c0d81a0,748509934c42,True,True,,IGHV3-33*01,IGKV3-20*01
elgemtumab,Elgemtumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,ad66105d606f,d0d02efdbfb8,True,True,,IGHV3-23*05,IGKV1-12*01
elipovimab,Elipovimab,natural_igg,True,True,False,False,False,False,False,db4acaab8ea0,623534467137,True,True,natural_missing_in_842_combined,IGHV4-4*08,IGKV2-4*01
eltivutabart,Eltivutabart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,dc48f8ce5fdb,f5117f20defa,True,True,,IGHV1-46*01,IGKV3-20*02
emapalumab,Emapalumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,a156e4ebeae6,eb377e074e5c,True,True,,IGHV3-23*01,IGKV3D-20*02
emiltatug,Emiltatug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,972d6f1e9879,80cb1f26c3c7,True,True,,IGHV3-53*01,IGKV3-20*01
enapotamab,Enapotamab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,00c0f3b371c0,e0ec858413d7,True,True,,IGHV3-23*01,IGKV3-20*01
enfortumab,Enfortumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,b14c21748766,f2e252a10390,True,True,,IGHV3-48*02,IGKV1-12*01
enlonstobart,Enlonstobart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,f35f7b29e4b1,79e1dd968971,True,True,,IGHV3-33*01,IGKV3-11*01
enokizumab,Enokizumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,25bdfcd6fdf2,32e996302f30,True,True,,IGHV1-69*01,IGKV1-39*01
enoticumab,Enoticumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,e09fe79baac5,56044db1c59f,True,True,,IGHV3-33*01,IGKV3-11*01
enuzovimab,Enuzovimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,c43335ec2197,980f6743f677,True,True,,IGHV3-53*01,IGKV1-12*01
erenumab,Erenumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,3e2440890422,13b819ca9869,True,True,,IGHV3-30*03,IGKV3D-20*01
ersodetug,Ersodetug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,8ec7fc31b3a5,a2f7737c4550,True,True,,IGHV3-30*01,IGKV2-30*01
erzotabart,Erzotabart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,8be4e7537912,7b7bb2937e28,True,True,,IGHV1-69*04,IGKV1D-16*01
etesevimab,Etesevimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,3169ac53cee5,11cbac38e0fb,True,True,,IGHV3-66*01,IGKV1-39*01
evalstotug,Evalstotug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,44d99da21ab5,a93ffb0f016c,True,True,,IGHV3-30*01,IGKV3-20*02
evinacumab,Evinacumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,3929cbe0a03c,19d075afcf1e,True,True,,IGHV3-43*02,IGKV1-5*03
evolocumab,Evolocumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,0118892fef35,5b133cd6ffdd,True,True,,IGHV1-18*01,IGKV3-11*01
evunzekibart,Evunzekibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,ab3c67ea39c8,364ccc1c53cf,True,True,,IGHV3-23*03,IGKV1-39*01
exbivirumab,Exbivirumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,3185d8b0a360,101507dd6061,True,True,,IGHV3-33*01,IGKV1-13*01
exerenibart,Exerenibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,f811b70ccb61,032356d20709,True,True,,IGHV3-23*04,IGKV1-12*01
fasinumab,Fasinumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,863043d093fd,2a814edaecf6,True,True,,IGHV1-24*01,IGKV1-17*01
felmetatug,Felmetatug,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,946663c970dd,fda76e5386e2,True,True,,IGHV4-39*01,IGKV3-15*01
fezakinumab,Fezakinumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,560e505cd1fa,763cd021ab66,True,True,,IGHV1-2*02,IGKV2/OR22-4*01
fianlimab,Fianlimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,e49a8af4b2ba,d9b84af31a37,True,True,,IGHV3-33*01,IGKV3-11*01
figitumumab,Figitumumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,afa56ac7632a,b76ca407e722,True,True,,IGHV3-23*01,IGKV1-17*01
firivumab,Firivumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,d90d8254a1fe,88186c38281e,True,True,,IGHV1-69*01,IGKV3-15*01
firsekibart,Firsekibart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,de230087e1e3,dab120b20fff,True,True,,IGHV3-49*05,IGKV1-13*01
fiztasovimab,Fiztasovimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,e99ae95baebd,79451ee0c568,True,True,,IGHV4-34*01,IGKV3D-20*01
flanvotumab,Flanvotumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,14658d4436ff,20f7867f5d9d,True,True,,IGHV7-4-1*03,IGKV3-11*01
fletikumab,Fletikumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,afb9d80a2eba,e6715e5df3fe,True,True,,IGHV1-3*01,IGKV1-13*02
foralumab,Foralumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,cdf71b3395d4,a12dae785d26,True,True,,IGHV3-33*01,IGKV3-11*01
foravirumab,Foravirumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,c71d7e0bcd13,fbfc19391880,True,True,,IGHV3-30*18,IGKV1-17*01
freneslerbart,Freneslerbart,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,350dc931ca03,7cd56f0f0b29,True,True,,IGHV3-21*01,IGKV1-27*01
fresolimumab,Fresolimumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,a298de2f8c05,a07a3e23e8a6,True,True,,IGHV1-69*01,IGKV3-20*01
fulranumab,Fulranumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,5ea87c6a9d62,e6715e5df3fe,True,True,,IGHV3-48*02,IGKV1-13*02
gancotamab,Gancotamab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,c048e0d83f83,b43f6910a330,True,True,,IGHV3-23*04,IGKV2/OR22-4*01
ganitumab,Ganitumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,991ac3c7040e,77e19ec1ffb4,True,True,,IGHV4-4*02,IGKV2-28*01
gantenerumab,Gantenerumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,ed3d96275105,654cbad1305a,True,True,,IGHV3-23*04,IGKV3-20*02
garadacimab,Garadacimab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,0e022e75135f,da35d6dfe5a6,True,True,,IGHV3-23*01,IGKV3D-20*01
garetosmab,Garetosmab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,8d668872672c,6c60ae1d63f4,True,True,,IGHV4-59*11,IGKV3-20*01
gedivumab,Gedivumab,natural_384_cmc;natural_igg,True,True,False,False,True,False,False,7b15374e5ea4,e690472d00b5,True,True,,IGHV3-30*01,IGKV3-15*01
