sequence_id,sequence_length,imgt_success,kabat_success,FR1_len,CDR1_len,FR2_len,CDR2_len,FR3_len,coverage_imgt_1_104,coverage_imgt_1_117,failure_classification
IMGT000040|IGHV4-35*01|Equus,101,True,True,25,9,17,10,38,0.9519,0.8632,truncated_before_117
NW_001876796|IGHV4-35*02|Equus,101,True,True,25,9,17,10,38,0.9519,0.8632,truncated_before_117
IMGT000040|IGHV4-35D*01|Equus,101,True,True,25,9,17,10,38,0.9519,0.8632,truncated_before_117
IMGT000040|IGHV4-37*01|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
NW_001872990|IGHV4-37*02|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
IMGT000040|IGHV4-37D*01|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
IMGT000040|IGHV4-37N*01|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
IMGT000040|IGHV4-38*01|Equus,98,True,True,25,9,17,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-38N*01|Equus,98,True,True,25,9,17,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-42*01|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
IMGT000040|IGHV4-42D*01|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
IMGT000040|IGHV4-42N*01|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
IMGT000040|IGHV4-52*01|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV4-53*01|Equus,98,True,True,24,10,17,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-55*01|Equus,98,True,True,25,9,17,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-57*01|Equus,97,True,True,25,9,16,7,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV4-59*01|Equus,98,True,True,25,9,17,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-65*01|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
NW_001876796|IGHV4-65*02|Equus,99,True,True,25,10,17,7,38,0.9327,0.8462,truncated_before_104
IMGT000040|IGHV4-68*01|Equus,97,True,True,24,9,17,7,38,0.9135,0.8291,truncated_before_104
NW_001876796|IGHV4-68*02|Equus,97,True,True,24,9,17,7,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV4-72*01|Equus,98,True,True,25,11,15,7,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV4-75*01|Equus,107,True,True,25,10,17,7,38,0.9327,0.906,truncated_before_104
IMGT000040|IGHV4-82*01|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
NW_001876796|IGHV4S1*01|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV5-67*01|Equus,98,True,True,25,8,17,8,38,0.9231,0.8376,truncated_before_104
IMGT000040|IGHV7-34*01|Equus,97,True,True,25,8,16,8,38,0.9135,0.8291,truncated_before_104
NW_001876796|IGHV7-34*02|Equus,97,True,True,25,8,16,8,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV7-34D*01|Equus,97,True,True,25,8,16,8,38,0.9135,0.8291,truncated_before_104
IMGT000040|IGHV9-66*01|Equus,97,True,True,25,8,17,7,38,0.9135,0.8291,truncated_before_104
