antibody_id,mean_plddt,min_plddt,frac_plddt_ge70,frac_plddt_ge90,mean_plddt_vh,mean_plddt_linker,min_plddt_linker,std_plddt_linker,frac_plddt_linker_ge70,mean_plddt_vl,clash_total,clash_vh_linker,clash_linker_vl,clash_vh_vl,contact_vh_vl,contact_vh_linker,contact_linker_vl,linker_end_to_end_a,junction_vh_vl_a,rg_full,rg_vh,rg_linker,rg_vl,n_residues,vh_len,linker_len,vl_len
Duvortuxizumab,87.57261410788382,35.0,0.9377593360995851,0.6348547717842323,90.30833333333334,41.53333333333333,35.0,7.031990393116936,0.0,90.99056603773585,0,0,0,0,39,26,4,33.82877731323242,29.909208297729492,17.753646850585938,13.544292449951172,11.153228759765625,12.700796127319336,241,120,15,106
Eluvixtamab,84.796,30.0,0.904,0.484,86.93442622950819,38.46666666666667,30.0,6.591577116964413,0.0,88.63716814159292,0,0,0,0,40,40,5,34.397586822509766,31.028390884399414,17.867055892944336,13.801939964294434,11.327289581298828,13.287288665771484,250,122,15,113
Emerfetamab,84.396,27.0,0.904,0.464,86.59836065573771,35.93333333333333,27.0,6.6278872115395036,0.0,88.45132743362832,0,0,0,0,39,32,7,35.09040451049805,31.297435760498047,17.840932846069336,13.804984092712402,11.276250839233398,13.298312187194824,250,122,15,113
Emfizatamab1,85.38866396761134,28.999999999999996,0.8825910931174089,0.5668016194331984,87.925,36.86666666666667,28.999999999999996,6.661998365522333,0.0,89.16964285714286,0,0,0,0,39,22,7,32.20108413696289,28.754634857177734,17.583478927612305,13.367284774780273,10.721078872680664,13.541362762451172,247,120,15,112
Emfizatamab2,82.93927125506073,31.0,0.8704453441295547,0.44129554655870445,84.49180327868852,37.46666666666667,31.0,6.651983831075425,0.0,87.41818181818182,0,0,0,0,41,27,10,30.79316520690918,31.29541778564453,17.670448303222656,13.581547737121582,10.47946834564209,13.185672760009766,247,122,15,110
Emirodatamab,84.3739837398374,32.0,0.9146341463414634,0.45528455284552843,85.80645161290323,38.46666666666667,32.0,7.154175160158033,0.0,89.14953271028037,0,0,0,0,41,22,4,34.02427291870117,30.67328453063965,17.794384002685547,13.950042724609375,11.167319297790527,12.768078804016113,246,124,15,107
Etevritamab,83.43426294820718,28.999999999999996,0.8884462151394422,0.41832669322709165,86.21774193548387,36.6,28.999999999999996,6.731022705849883,0.0,86.625,0,0,0,0,36,20,13,31.886821746826172,31.323219299316406,17.949739456176758,13.945602416992188,10.85175895690918,13.246009826660156,251,124,15,112
Fanastomig,83.8,26.0,0.9191489361702128,0.39148936170212767,86.87610619469027,34.4,26.0,6.509480265991543,0.0,87.4766355140187,0,0,0,0,30,24,11,33.83854293823242,34.05298614501953,17.652305603027344,13.128158569335938,11.436392784118652,12.766310691833496,235,113,15,107
Flotetuzumab,84.98790322580645,27.0,0.907258064516129,0.49193548387096775,87.40833333333333,34.93333333333333,27.0,7.103676669318658,0.0,89.06194690265487,0,0,0,0,34,23,7,32.81901931762695,31.44971466064453,17.956026077270508,13.489102363586426,11.087433815002441,13.341386795043945,248,120,15,113
Forimtamig,87.49180327868852,32.0,0.9344262295081968,0.6475409836065574,90.0677966101695,39.86666666666667,32.0,8.546864272286586,0.0,91.1891891891892,0,0,0,0,43,25,5,35.03899383544922,31.69414520263672,17.790273666381836,13.428516387939453,11.404781341552734,13.099464416503906,244,118,15,111
Galvokimig1,84.55465587044534,30.0,0.8987854251012146,0.5222672064777328,85.928,37.46666666666667,30.0,8.33359999573347,0.0,89.55140186915888,0,0,0,0,35,22,5,30.568349838256836,28.351356506347656,17.797250747680664,13.993612289428711,10.787016868591309,12.750988006591797,247,125,15,107
Galvokimig2,86.18987341772151,28.000000000000004,0.9282700421940928,0.5780590717299579,89.09482758620689,36.13333333333333,28.000000000000004,7.172788083366808,0.0,90.09433962264151,0,0,0,0,29,28,13,31.503854751586914,32.42084503173828,17.665847778320312,13.412440299987793,10.72915267944336,12.736628532409668,237,116,15,106
Givastomig,84.875,28.000000000000004,0.9153225806451613,0.49193548387096775,86.65833333333333,35.266666666666666,28.000000000000004,7.028197176769841,0.0,89.56637168141593,0,0,0,0,36,22,4,33.68467330932617,30.30088996887207,17.90777587890625,13.667113304138184,11.063658714294434,13.303434371948242,248,120,15,113
Glofitamab,83.2289156626506,28.999999999999996,0.8835341365461847,0.42570281124497994,87.136,34.266666666666666,28.999999999999996,5.847696602556905,0.0,85.4862385321101,0,0,0,0,54,14,5,29.61907196044922,26.63871192932129,17.90673065185547,14.009775161743164,10.514669418334961,12.940424919128418,249,125,15,109
Gocatamig1,85.40963855421687,31.0,0.9036144578313253,0.5220883534136547,87.944,38.06666666666667,31.0,7.307226255943878,0.0,89.01834862385321,0,0,0,0,53,15,4,30.77269172668457,27.459501266479492,17.9040584564209,14.041644096374512,10.717259407043457,13.005026817321777,249,125,15,109
Gresonitamab,84.6842105263158,30.0,0.8947368421052632,0.5222672064777328,86.312,37.4,30.0,7.587709360098956,0.0,89.41121495327103,0,0,0,0,45,26,4,33.952880859375,30.771879196166992,17.764347076416016,14.08557415008545,10.798680305480957,12.783987998962402,247,125,15,107
Imvotamab,85.08713692946058,28.999999999999996,0.9004149377593361,0.5186721991701245,87.225,35.86666666666667,28.999999999999996,6.993965653015144,0.0,89.63207547169812,0,0,0,0,37,19,4,33.410858154296875,30.550546646118164,17.69343376159668,13.476411819458008,11.045442581176758,12.713238716125488,241,120,15,106
Inezetamab,84.89430894308943,28.999999999999996,0.8739837398373984,0.5447154471544715,88.23333333333333,35.86666666666667,28.999999999999996,6.761327943204321,0.0,87.90990990990991,0,0,0,0,50,12,5,25.934310913085938,24.13555908203125,17.800256729125977,13.312992095947266,9.549073219299316,13.115456581115723,246,120,15,111
Ingitamig,86.80833333333334,28.999999999999996,0.9291666666666667,0.625,90.07758620689656,36.733333333333334,28.999999999999996,7.056596598612929,0.0,90.22018348623853,0,0,0,0,38,25,4,33.65936279296875,29.413190841674805,17.66107177734375,13.204997062683105,11.314472198486328,12.9686279296875,240,116,15,109
Istiratumab,85.98770491803279,32.0,0.9057377049180327,0.5901639344262295,87.62295081967213,38.46666666666667,32.0,6.888315388314394,0.0,90.78504672897196,0,0,0,0,46,20,4,32.79855728149414,29.52909278869629,17.694963455200195,13.755291938781738,10.7821626663208,12.784489631652832,244,122,15,107
Itanistomig,83.01639344262296,31.0,0.8729508196721312,0.39344262295081966,83.65853658536585,38.8,31.0,7.652450587883597,0.0,88.52830188679245,0,0,0,0,41,22,4,33.84086608886719,30.630630493164062,17.766929626464844,13.943845748901367,11.111568450927734,12.689165115356445,244,123,15,106
Ivonescimab,84.91836734693878,33.0,0.9061224489795918,0.5102040816326531,84.60975609756098,39.8,33.0,6.734983296193096,0.0,91.59813084112149,0,0,0,0,40,19,4,31.958711624145508,28.78878402709961,17.810916900634766,13.898015022277832,10.518804550170898,12.772961616516113,245,123,15,107
Izalontamab,85.01244813278008,30.0,0.921161825726141,0.45643153526970953,87.19327731092437,37.333333333333336,30.0,7.845734863959879,0.0,89.27102803738318,0,0,0,0,34,23,16,31.280040740966797,31.69723129272461,17.689434051513672,13.438081741333008,10.614060401916504,12.827019691467285,241,119,15,107
Izuralimab,84.57085020242916,31.0,0.8987854251012146,0.5141700404858299,85.872,38.266666666666666,31.0,7.27064111493768,0.0,89.54205607476635,0,0,0,0,44,24,4,33.27801513671875,30.490938186645508,17.846603393554688,14.193662643432617,10.943289756774902,12.764350891113281,247,125,15,107
Ledostomig,86.2289156626506,30.0,0.9196787148594378,0.5943775100401606,87.85950413223141,37.8,30.0,7.119925093238926,0.0,90.91150442477876,0,0,0,0,43,21,5,34.28291320800781,31.051620483398438,17.910266876220703,13.67880916595459,11.347320556640625,13.318663597106934,249,121,15,113
Lomvastomig,85.27235772357723,31.0,0.9146341463414634,0.524390243902439,87.75,38.6,31.0,7.218494764607554,0.0,88.90090090090091,0,0,0,0,40,20,4,32.179481506347656,28.777254104614258,17.836265563964844,13.491371154785156,10.916389465332031,13.092262268066406,246,120,15,111
Lorigerlimab,85.45714285714286,30.0,0.9183673469387755,0.5142857142857142,87.67226890756302,37.6,30.0,7.7356318423254855,0.0,89.54954954954955,0,0,0,0,35,21,4,33.807891845703125,30.689449310302734,17.818464279174805,13.533842086791992,11.198709487915039,13.058411598205566,245,119,15,111
Mipletamig,85.24505928853755,28.000000000000004,0.8893280632411067,0.5612648221343873,87.40322580645162,35.86666666666667,28.000000000000004,7.779174477767905,0.0,89.39473684210526,0,0,0,0,64,24,16,30.941743850708008,30.286632537841797,17.69021224975586,13.615069389343262,10.83421516418457,13.389049530029297,253,124,15,114
Nebratamig1,85.50826446280992,31.0,0.8884297520661157,0.5495867768595041,87.45689655172414,40.733333333333334,31.0,9.476051685990084,0.0,89.52252252252252,0,0,0,0,44,35,13,30.828821182250977,28.510873794555664,17.561676025390625,13.355005264282227,11.049190521240234,13.235219955444336,242,116,15,111
Nebratamig2,83.68,32.0,0.872,0.46,86.52459016393442,38.266666666666666,32.0,7.261466028901388,0.0,86.63716814159292,0,0,0,0,54,18,6,30.9195613861084,27.701013565063477,17.677560806274414,13.58680534362793,10.42569351196289,13.49471664428711,250,122,15,113
Nesfrotamig,87.15702479338843,28.999999999999996,0.9173553719008265,0.6694214876033058,89.375,37.93333333333333,28.999999999999996,8.193222131059848,0.0,91.57009345794393,0,0,0,0,41,23,15,30.998796463012695,31.366321563720703,17.694501876831055,13.547322273254395,10.570830345153809,12.764554977416992,242,120,15,107
Nivatrotamab,85.66806722689076,31.0,0.8991596638655462,0.542016806722689,87.34453781512605,37.2,31.0,6.987608079068735,0.0,90.74038461538461,0,0,0,0,38,23,4,32.911380767822266,29.192466735839844,17.684423446655273,13.521729469299316,10.761905670166016,12.543538093566895,238,119,15,104
Obertamig,76.65306122448979,41.0,0.7591836734693878,0.11428571428571428,76.63333333333334,48.46666666666667,41.0,5.795017016560195,0.0,80.51818181818182,0,0,0,0,38,7,6,26.233797073364258,25.245223999023438,18.131439208984375,13.529691696166992,10.451964378356934,13.073908805847168,245,120,15,110
Obrindatamab,86.94672131147541,37.0,0.9139344262295082,0.6229508196721312,88.70491803278688,42.53333333333333,37.0,6.781019261307421,0.0,91.16822429906541,0,0,0,0,42,41,10,33.12675476074219,33.39989471435547,17.50804328918457,13.621227264404297,11.241351127624512,12.794454574584961,244,122,15,107
Ompekimig1,86.81147540983606,28.999999999999996,0.930327868852459,0.6229508196721312,89.77118644067797,37.2,28.999999999999996,7.591223002037728,0.0,90.36936936936937,0,0,0,0,45,21,4,32.2336311340332,29.09015464782715,17.693334579467773,13.402229309082031,10.75104808807373,13.075039863586426,244,118,15,111
Ompekimig2,84.9504132231405,28.000000000000004,0.9008264462809917,0.5206611570247934,87.3305785123967,34.86666666666667,28.000000000000004,6.581455428365032,0.0,89.32075471698113,0,0,0,0,32,22,8,32.52228927612305,29.49693489074707,17.65053939819336,13.694499969482422,10.869914054870605,12.693737030029297,242,121,15,106
Opamistomig,84.85892116182572,32.0,0.9087136929460581,0.4896265560165975,86.26050420168067,36.86666666666667,32.0,5.897645481225726,0.0,90.02803738317758,0,0,0,0,33,27,5,33.48120880126953,30.144393920898438,17.687408447265625,13.521769523620605,10.954693794250488,12.777186393737793,241,119,15,107
Opugotamig,86.49590163934427,30.0,0.9344262295081968,0.5901639344262295,88.46610169491525,36.0,30.0,6.5625198412398476,0.0,91.22522522522523,0,0,0,0,38,28,3,35.18791961669922,31.738908767700195,17.81643295288086,13.434091567993164,11.533655166625977,13.058752059936523,244,118,15,111
Pacanalotamab,85.37860082304526,28.999999999999996,0.9135802469135802,0.5349794238683128,86.89256198347107,35.86666666666667,28.999999999999996,6.974875546480303,0.0,90.60747663551402,0,0,0,0,35,20,4,32.87263870239258,29.97838592529297,17.75197982788086,13.604832649230957,10.739143371582031,12.765401840209961,243,121,15,107
Pasotuxizumab,86.11522633744856,30.0,0.9094650205761317,0.5761316872427984,87.85950413223141,37.53333333333333,30.0,7.069810621383165,0.0,90.95327102803738,0,0,0,0,41,22,6,33.10040283203125,29.566530227661133,17.675121307373047,13.545747756958008,11.009737014770508,12.768139839172363,243,121,15,107
Pasritamig,80.76113360323886,43.0,0.8582995951417004,0.2550607287449393,81.568,48.333333333333336,44.0,4.221637386396684,0.0,84.3644859813084,0,0,0,0,40,10,4,33.46699142456055,29.900178909301758,17.946033477783203,14.168110847473145,11.665325164794922,12.809484481811523,247,125,15,107
Pavurutamab,85.84362139917695,30.0,0.9135802469135802,0.5761316872427984,87.30578512396694,37.2,30.0,6.715156985010353,0.0,91.00934579439253,0,0,0,0,34,18,4,33.06782913208008,30.098880767822266,17.73634910583496,13.61059856414795,10.746636390686035,12.7769193649292,243,121,15,107
Plamotamab,86.78512396694215,30.0,0.9380165289256198,0.6033057851239669,89.40495867768595,39.13333333333333,30.0,8.180192880094916,0.0,90.5377358490566,0,0,0,0,39,25,4,33.91175842285156,31.03166389465332,17.722671508789062,13.792366027832031,11.022286415100098,12.722577095031738,242,121,15,106
Podentamig2,85.40963855421687,31.0,0.9036144578313253,0.5220883534136547,87.944,38.06666666666667,31.0,7.307226255943878,0.0,89.01834862385321,0,0,0,0,53,15,4,30.77269172668457,27.459501266479492,17.9040584564209,14.041644096374512,10.717259407043457,13.005026817321777,249,125,15,109
Ragistomig,85.40663900414938,28.999999999999996,0.9045643153526971,0.5228215767634855,88.4873949579832,36.4,28.999999999999996,6.499230723708768,0.0,88.85046728971963,0,0,0,0,47,16,4,35.17086410522461,30.370574951171875,17.797237396240234,13.484755516052246,11.761483192443848,12.77634334564209,241,119,15,107
Ramantamig1,76.65306122448979,41.0,0.7591836734693878,0.11428571428571428,76.63333333333334,48.46666666666667,41.0,5.795017016560195,0.0,80.51818181818182,0,0,0,0,38,7,6,26.233797073364258,25.245223999023438,18.131439208984375,13.529691696166992,10.451964378356934,13.073908805847168,245,120,15,110
Ramantamig2,85.18218623481782,31.0,0.8987854251012146,0.5587044534412956,86.65853658536585,38.0,31.0,7.4654760955570225,0.0,90.0091743119266,0,0,0,0,47,19,5,33.69123077392578,29.924667358398438,17.76483917236328,13.817782402038574,11.056055068969727,12.921886444091797,247,123,15,109
Rezetamig,83.61632653061224,28.999999999999996,0.889795918367347,0.4326530612244898,84.5691056910569,37.266666666666666,28.999999999999996,8.543743649920422,0.0,89.01869158878505,0,0,0,0,46,22,4,32.82707595825195,29.174726486206055,17.680341720581055,13.706747055053711,10.8335542678833,12.744696617126465,245,123,15,107
Silevimig,86.83333333333333,27.0,0.9208333333333333,0.6333333333333333,89.51694915254237,36.13333333333333,27.0,7.948724565754071,0.0,90.98130841121495,0,0,0,0,33,21,15,30.999980926513672,31.36458396911621,17.63901138305664,13.301807403564453,10.620926856994629,12.752820014953613,240,118,15,107
Simridarlimab,86.40084388185655,31.0,0.9324894514767933,0.5611814345991561,88.82608695652173,37.53333333333333,31.0,6.671997868371628,0.0,90.64485981308411,0,0,0,0,31,24,5,33.857688903808594,30.49347686767578,17.65839958190918,13.064676284790039,10.9283447265625,12.756153106689453,237,115,15,107
Solitomab,84.00403225806451,26.0,0.907258064516129,0.43951612903225806,86.03333333333333,32.0,26.0,5.796550698475776,0.0,88.75221238938053,0,0,0,0,42,20,4,34.82038116455078,30.795551300048828,17.992889404296875,13.545337677001953,11.513872146606445,13.362347602844238,248,120,15,113
Surovatamig,84.11020408163266,30.0,0.8938775510204081,0.47346938775510206,85.130081300813,38.0,30.0,8.48528137423857,0.0,89.40186915887851,0,0,0,0,47,19,4,32.713809967041016,29.08006477355957,17.69025993347168,13.832216262817383,10.801095962524414,12.74769401550293,245,123,15,107
Tarlatamab,86.45643153526972,32.0,0.9294605809128631,0.5601659751037344,88.35593220338983,40.06666666666667,32.0,8.713718430663736,0.0,90.82407407407408,0,0,0,0,41,25,5,34.22140121459961,30.909574508666992,17.662151336669922,13.346510887145996,11.31516170501709,12.82879638671875,241,118,15,108
Tebotelimab,85.45714285714286,30.0,0.9183673469387755,0.5142857142857142,87.67226890756302,37.6,30.0,7.7356318423254855,0.0,89.54954954954955,0,0,0,0,35,21,4,33.807891845703125,30.689449310302734,17.818464279174805,13.533842086791992,11.198709487915039,13.058411598205566,245,119,15,111
Tibulizumab,83.95510204081633,34.0,0.8775510204081632,0.44081632653061226,86.5691056910569,40.333333333333336,34.0,7.381658952355418,0.0,87.06542056074767,0,0,0,0,46,25,5,33.40146255493164,29.580894470214844,17.76161003112793,13.98694133758545,11.034913063049316,12.86363697052002,245,123,15,107
Tidutamab,84.39759036144578,27.0,0.8955823293172691,0.4819277108433735,86.58196721311475,34.266666666666666,27.0,7.094285650358948,0.0,88.73214285714286,0,0,0,0,39,24,12,31.28069496154785,30.675220489501953,17.829463958740234,13.598307609558105,10.668869018554688,13.246793746948242,249,122,15,112
Tixentamig,83.65060240963855,30.0,0.8674698795180723,0.46586345381526106,88.304,36.13333333333333,30.0,6.681982407107109,0.0,84.85321100917432,0,0,0,0,62,16,6,29.889890670776367,26.830148696899414,17.87661361694336,14.088186264038086,10.495965957641602,12.960582733154297,249,125,15,109
Tobemstomig,85.27235772357723,31.0,0.9146341463414634,0.524390243902439,87.75,38.6,31.0,7.218494764607554,0.0,88.90090090090091,0,0,0,0,40,20,4,32.179481506347656,28.777254104614258,17.836265563964844,13.491371154785156,10.916389465332031,13.092262268066406,246,120,15,111
Tovecimig,84.91836734693878,33.0,0.9061224489795918,0.5102040816326531,84.60975609756098,39.8,33.0,6.734983296193096,0.0,91.59813084112149,0,0,0,0,40,19,4,31.958711624145508,28.78878402709961,17.810916900634766,13.898015022277832,10.518804550170898,12.772961616516113,245,123,15,107
Trevotamig,85.11344537815125,34.0,0.9243697478991597,0.44537815126050423,86.76271186440678,40.6,34.0,6.2375208750485704,0.0,89.61904761904762,0,0,0,0,32,18,6,31.765310287475586,28.440082550048828,17.70115852355957,13.397336959838867,10.969265937805176,12.67249870300293,238,118,15,105
Trontinemab,85.39357429718875,31.0,0.9036144578313253,0.5622489959839357,87.43650793650794,37.06666666666667,31.0,6.617821057988464,0.0,89.72222222222223,0,0,0,0,38,24,5,33.90724182128906,30.253889083862305,17.7314395904541,13.889235496520996,11.129332542419434,12.79616641998291,249,126,15,108
Umizortamig1,85.38866396761134,28.999999999999996,0.8825910931174089,0.5668016194331984,87.925,36.86666666666667,28.999999999999996,6.661998365522333,0.0,89.16964285714286,0,0,0,0,39,22,7,32.20108413696289,28.754634857177734,17.583478927612305,13.367284774780273,10.721078872680664,13.541362762451172,247,120,15,112
Umizortamig2,82.93927125506073,31.0,0.8704453441295547,0.44129554655870445,84.49180327868852,37.46666666666667,31.0,6.651983831075425,0.0,87.41818181818182,0,0,0,0,41,27,10,30.79316520690918,31.29541778564453,17.670448303222656,13.581547737121582,10.47946834564209,13.185672760009766,247,122,15,110
Velaprumig,86.79835390946502,30.0,0.9094650205761317,0.6255144032921811,89.525,38.13333333333333,30.0,8.07355078154725,0.0,90.52777777777777,0,0,0,0,44,24,16,31.39090347290039,30.752376556396484,17.61931800842285,13.571203231811523,10.714961051940918,12.930622100830078,243,120,15,108
Vepsitamab,84.63070539419087,31.0,0.9128630705394191,0.46473029045643155,87.58333333333333,37.666666666666664,31.0,7.011102306738616,0.0,87.93396226415095,0,0,0,0,45,16,9,29.57114601135254,30.550687789916992,17.730255126953125,13.668011665344238,10.305280685424805,12.791914939880371,241,120,15,106
Vibecotamab,85.25806451612904,27.0,0.9153225806451613,0.5040322580645161,87.79166666666667,34.266666666666666,27.0,6.796731240497564,0.0,89.33628318584071,0,0,0,0,34,21,6,34.08640670776367,31.220630645751953,17.970062255859375,13.469094276428223,11.316302299499512,13.304600715637207,248,120,15,113
Vixtimotamab,82.2834008097166,28.000000000000004,0.8623481781376519,0.3765182186234818,86.84426229508196,35.2,28.000000000000004,6.734983296193094,0.0,83.64545454545454,0,0,0,0,47,22,6,31.46683120727539,30.449539184570312,17.753068923950195,13.76634693145752,10.568954467773438,12.979509353637695,247,122,15,110
Vudalimab,86.89626556016597,30.0,0.9336099585062241,0.6099585062240664,90.35593220338983,38.13333333333333,30.0,8.048740412152839,0.0,89.88888888888889,0,0,0,0,37,20,5,33.69503402709961,29.803403854370117,17.736539840698242,13.357294082641602,11.12812328338623,12.781852722167969,241,118,15,108
Xaluritamig,85.41735537190083,34.0,0.9090909090909091,0.5289256198347108,86.75206611570248,41.46666666666667,34.0,8.309566107137536,0.0,90.11320754716981,0,0,0,0,38,22,4,32.77415466308594,29.597679138183594,17.900789260864258,14.064799308776855,10.795516014099121,12.720914840698242,242,121,15,106
Xirestomig,81.99595141700405,30.0,0.8340080971659919,0.3724696356275304,84.39669421487604,36.266666666666666,30.0,6.43393779543722,0.0,85.55855855855856,0,0,0,0,45,10,6,26.614578247070312,26.17129135131836,17.83828353881836,13.538899421691895,9.813446044921875,13.198493957519531,247,121,15,111
